고객ID,기준일자,주차,상품구분,수신잔액
C100001,2026-05-15,5,정기예금,8498442
C100002,2026-05-15,5,정기예금,48500889
C100003,2026-05-15,5,적금,38183100
C100004,2026-05-15,5,적금,60762984
C100005,2026-05-15,5,입출금예금,40348614
C100006,2026-05-15,5,적금,2503283
C100007,2026-05-15,5,적금,65271549
C100008,2026-05-15,5,입출금예금,3405754
C100009,2026-05-15,5,적금,61884189
C100010,2026-05-15,5,입출금예금,9443532
C100011,2026-05-15,5,적금,68698859
C100012,2026-05-15,5,정기예금,65458070
C100013,2026-05-15,5,적금,27353540
C100014,2026-05-15,5,입출금예금,73201664
C100015,2026-05-15,5,정기예금,71964145
C100016,2026-05-15,5,적금,39613321
C100017,2026-05-15,5,입출금예금,4907248
C100018,2026-05-15,5,정기예금,79302294
C100019,2026-05-15,5,적금,74662812
C100020,2026-05-15,5,정기예금,41480918
C100021,2026-05-15,5,정기예금,35064146
C100022,2026-05-15,5,정기예금,73305562
C100023,2026-05-15,5,입출금예금,26351886
C100024,2026-05-15,5,정기예금,44465340
C100025,2026-05-15,5,입출금예금,6736139
C100026,2026-05-15,5,정기예금,62735983
C100027,2026-05-15,5,입출금예금,2115697
C100028,2026-05-15,5,정기예금,26013498
C100029,2026-05-15,5,정기예금,39469440
C100030,2026-05-15,5,정기예금,4510993
C100031,2026-05-15,5,적금,69659112
C100032,2026-05-15,5,적금,43940460
C100033,2026-05-15,5,적금,66820757
C100034,2026-05-15,5,적금,12273183
C100035,2026-05-15,5,입출금예금,56756276
C100036,2026-05-15,5,적금,57122910
C100037,2026-05-15,5,입출금예금,11964040
C100038,2026-05-15,5,정기예금,44174978
C100039,2026-05-15,5,적금,0
C100040,2026-05-15,5,적금,54898350
C100041,2026-05-15,5,입출금예금,60850734
C100042,2026-05-15,5,입출금예금,50822856
C100043,2026-05-15,5,적금,0
C100044,2026-05-15,5,정기예금,5997664
C100045,2026-05-15,5,적금,0
C100046,2026-05-15,5,적금,28374728
C100047,2026-05-15,5,적금,58878393
C100048,2026-05-15,5,입출금예금,57092899
C100049,2026-05-15,5,적금,50980818
C100050,2026-05-15,5,입출금예금,54912026
C100051,2026-05-15,5,적금,59804475
C100052,2026-05-15,5,정기예금,44626364
C100053,2026-05-15,5,입출금예금,24729669
C100054,2026-05-15,5,적금,70025942
C100055,2026-05-15,5,정기예금,34612450
C100056,2026-05-15,5,적금,24447209
C100057,2026-05-15,5,적금,47284611
C100058,2026-05-15,5,정기예금,37294386
C100059,2026-05-15,5,입출금예금,49623973
C100060,2026-05-15,5,정기예금,70933539
C100061,2026-05-15,5,정기예금,77743074
C100062,2026-05-15,5,적금,29711101
C100063,2026-05-15,5,적금,4683270
C100064,2026-05-15,5,적금,59636643
C100065,2026-05-15,5,입출금예금,49678506
C100066,2026-05-15,5,입출금예금,6896587
C100067,2026-05-15,5,정기예금,62284217
C100068,2026-05-15,5,정기예금,17864542
C100069,2026-05-15,5,적금,8083412
C100070,2026-05-15,5,적금,15664092
C100071,2026-05-15,5,입출금예금,35933180
C100072,2026-05-15,5,입출금예금,37592483
C100073,2026-05-15,5,적금,24783833
C100074,2026-05-15,5,정기예금,63790792
C100075,2026-05-15,5,입출금예금,69721825
C100076,2026-05-15,5,적금,62384663
C100077,2026-05-15,5,적금,38041266
C100078,2026-05-15,5,정기예금,54046090
C100079,2026-05-15,5,적금,26984616
C100080,2026-05-15,5,입출금예금,60419521
C100081,2026-05-15,5,입출금예금,20296013
C100082,2026-05-15,5,정기예금,39063480
C100083,2026-05-15,5,입출금예금,23854777
C100084,2026-05-15,5,적금,38968614
C100085,2026-05-15,5,적금,34984143
C100086,2026-05-15,5,입출금예금,57094668
C100087,2026-05-15,5,입출금예금,59243759
C100088,2026-05-15,5,입출금예금,29906308
C100089,2026-05-15,5,정기예금,59891941
C100090,2026-05-15,5,정기예금,61416895
C100091,2026-05-15,5,적금,0
C100092,2026-05-15,5,적금,51328400
C100093,2026-05-15,5,정기예금,12492803
C100094,2026-05-15,5,정기예금,29128518
C100095,2026-05-15,5,입출금예금,40325452
C100096,2026-05-15,5,정기예금,39620496
