고객ID,기준일자,주차,카드구분,사용금액,사용건수
C100001,2026-05-15,5,체크카드,2811535,56
C100002,2026-05-15,5,신용카드,584913,12
C100003,2026-05-15,5,체크카드,0,0
C100004,2026-05-15,5,체크카드,0,0
C100005,2026-05-15,5,체크카드,3073760,61
C100006,2026-05-15,5,신용카드,0,0
C100007,2026-05-15,5,체크카드,3782098,76
C100008,2026-05-15,5,체크카드,394398,8
C100009,2026-05-15,5,체크카드,740084,15
C100010,2026-05-15,5,신용카드,601760,12
C100011,2026-05-15,5,신용카드,3236077,65
C100012,2026-05-15,5,체크카드,2980823,60
C100013,2026-05-15,5,신용카드,592698,12
C100014,2026-05-15,5,신용카드,0,0
C100015,2026-05-15,5,체크카드,2042651,41
C100016,2026-05-15,5,체크카드,278440,6
C100017,2026-05-15,5,체크카드,918172,18
C100018,2026-05-15,5,신용카드,824114,16
C100019,2026-05-15,5,체크카드,2637762,53
C100020,2026-05-15,5,체크카드,3024497,60
C100021,2026-05-15,5,체크카드,1067372,21
C100022,2026-05-15,5,신용카드,2992816,60
C100023,2026-05-15,5,체크카드,0,0
C100024,2026-05-15,5,신용카드,1570718,31
C100025,2026-05-15,5,체크카드,2796150,56
C100026,2026-05-15,5,신용카드,911062,18
C100027,2026-05-15,5,신용카드,1267168,25
C100028,2026-05-15,5,신용카드,930967,19
C100029,2026-05-15,5,체크카드,1351318,27
C100030,2026-05-15,5,체크카드,0,0
C100031,2026-05-15,5,신용카드,2639884,53
C100032,2026-05-15,5,체크카드,1874547,37
C100033,2026-05-15,5,체크카드,0,0
C100034,2026-05-15,5,체크카드,2747658,55
C100035,2026-05-15,5,체크카드,2830449,57
C100036,2026-05-15,5,신용카드,2352180,47
C100037,2026-05-15,5,체크카드,961737,19
C100038,2026-05-15,5,신용카드,282074,6
C100039,2026-05-15,5,체크카드,3643911,73
C100040,2026-05-15,5,체크카드,2700541,54
C100041,2026-05-15,5,체크카드,0,0
C100042,2026-05-15,5,체크카드,2618622,52
C100043,2026-05-15,5,체크카드,466730,9
C100044,2026-05-15,5,체크카드,0,0
C100045,2026-05-15,5,체크카드,2690565,54
C100046,2026-05-15,5,신용카드,0,0
C100047,2026-05-15,5,신용카드,1462266,29
C100048,2026-05-15,5,신용카드,3095260,62
C100049,2026-05-15,5,체크카드,1813495,36
C100050,2026-05-15,5,신용카드,2740326,55
C100051,2026-05-15,5,체크카드,1344101,27
C100052,2026-05-15,5,신용카드,3070414,61
C100053,2026-05-15,5,신용카드,0,0
C100054,2026-05-15,5,체크카드,103920,2
C100055,2026-05-15,5,체크카드,184933,4
C100056,2026-05-15,5,체크카드,3192308,64
C100057,2026-05-15,5,체크카드,0,0
C100058,2026-05-15,5,신용카드,3018751,60
C100059,2026-05-15,5,체크카드,0,0
C100060,2026-05-15,5,체크카드,2605826,52
C100061,2026-05-15,5,신용카드,3851596,77
C100062,2026-05-15,5,체크카드,673874,13
C100063,2026-05-15,5,체크카드,1118688,22
C100064,2026-05-15,5,체크카드,2711218,54
C100065,2026-05-15,5,체크카드,2894510,58
C100066,2026-05-15,5,체크카드,1426211,29
C100067,2026-05-15,5,신용카드,3097654,62
C100068,2026-05-15,5,체크카드,3019162,60
C100069,2026-05-15,5,신용카드,3148523,63
C100070,2026-05-15,5,체크카드,887187,18
C100071,2026-05-15,5,신용카드,349348,7
C100072,2026-05-15,5,체크카드,3258839,65
C100073,2026-05-15,5,신용카드,950588,19
C100074,2026-05-15,5,신용카드,3527030,71
C100075,2026-05-15,5,신용카드,2721013,54
C100076,2026-05-15,5,체크카드,3129130,63
C100077,2026-05-15,5,체크카드,1509010,30
C100078,2026-05-15,5,체크카드,1754992,35
C100079,2026-05-15,5,체크카드,0,0
C100080,2026-05-15,5,신용카드,2241332,45
C100081,2026-05-15,5,신용카드,1415509,28
C100082,2026-05-15,5,신용카드,422544,8
C100083,2026-05-15,5,신용카드,1071946,21
C100084,2026-05-15,5,신용카드,2036822,41
C100085,2026-05-15,5,체크카드,0,0
C100086,2026-05-15,5,체크카드,2090903,42
C100087,2026-05-15,5,신용카드,0,0
C100088,2026-05-15,5,신용카드,0,0
C100089,2026-05-15,5,체크카드,1206008,24
C100090,2026-05-15,5,신용카드,508662,10
C100091,2026-05-15,5,체크카드,3511203,70
C100092,2026-05-15,5,신용카드,3326283,67
C100093,2026-05-15,5,체크카드,699756,14
C100094,2026-05-15,5,신용카드,2564725,51
C100095,2026-05-15,5,체크카드,747688,15
C100096,2026-05-15,5,신용카드,1389849,28
C100097,2026-05-15,5,신용카드,3369024,67
C100098,2026-05-15,5,체크카드,1546432,31
C100099,2026-05-15,5,체크카드,402471,8
C100100,2026-05-15,5,체크카드,1541180,31
C100101,2026-05-15,5,체크카드,3234473,65
C100102,2026-05-15,5,신용카드,3695705,74
C100103,2026-05-15,5,체크카드,3431208,69
C100104,2026-05-15,5,신용카드,3012323,60
C100105,2026-05-15,5,체크카드,80801,2
C100106,2026-05-15,5,체크카드,74092,1
C100107,2026-05-15,5,체크카드,1208864,24
C100108,2026-05-15,5,체크카드,1651044,33
C100109,2026-05-15,5,신용카드,1889201,38
C100110,2026-05-15,5,체크카드,1254309,25
C100111,2026-05-15,5,신용카드,3738458,75
C100112,2026-05-15,5,신용카드,0,0
C100113,2026-05-15,5,신용카드,2657493,53
C100114,2026-05-15,5,체크카드,3470538,69
C100115,2026-05-15,5,체크카드,3751869,75
C100116,2026-05-15,5,신용카드,1232502,25
C100117,2026-05-15,5,신용카드,171036,3
C100118,2026-05-15,5,신용카드,503815,10
C100119,2026-05-15,5,신용카드,758676,15
C100120,2026-05-15,5,체크카드,110592,2
C100121,2026-05-15,5,체크카드,853730,17
C100122,2026-05-15,5,신용카드,405875,8
C100123,2026-05-15,5,체크카드,0,0
C100124,2026-05-15,5,체크카드,924584,18
C100125,2026-05-15,5,신용카드,976394,20
C100126,2026-05-15,5,신용카드,3212039,64
C100127,2026-05-15,5,신용카드,1983643,40
C100128,2026-05-15,5,신용카드,4079497,82
C100129,2026-05-15,5,신용카드,2914668,58
C100130,2026-05-15,5,신용카드,3116941,62
C100131,2026-05-15,5,신용카드,2072853,41
C100132,2026-05-15,5,신용카드,318845,6
C100133,2026-05-15,5,신용카드,579672,12
C100134,2026-05-15,5,체크카드,0,0
C100135,2026-05-15,5,체크카드,1572753,31
C100136,2026-05-15,5,체크카드,2481442,50
C100137,2026-05-15,5,신용카드,586142,12
C100138,2026-05-15,5,체크카드,2492447,50
C100139,2026-05-15,5,체크카드,3281669,66
C100140,2026-05-15,5,체크카드,4218046,84
C100141,2026-05-15,5,신용카드,1428667,29
C100142,2026-05-15,5,신용카드,2552009,51
C100143,2026-05-15,5,신용카드,3387052,68
C100144,2026-05-15,5,신용카드,3366915,67
C100145,2026-05-15,5,체크카드,2532726,51
C100146,2026-05-15,5,체크카드,3796947,76
C100147,2026-05-15,5,체크카드,574930,11
C100148,2026-05-15,5,신용카드,1623301,32
C100149,2026-05-15,5,신용카드,2952126,59
C100150,2026-05-15,5,체크카드,3953805,79
