고객ID,기준일자,주차,상품구분,여신잔액
C100001,2026-06-19,10,신용대출,0
C100002,2026-06-19,10,신용대출,0
C100003,2026-06-19,10,주택담보대출,48718617
C100004,2026-06-19,10,주택담보대출,35457298
C100005,2026-06-19,10,신용대출,5791851
C100006,2026-06-19,10,전세자금대출,24438194
C100007,2026-06-19,10,전세자금대출,0
C100008,2026-06-19,10,신용대출,99722766
C100009,2026-06-19,10,주택담보대출,0
C100010,2026-06-19,10,주택담보대출,112616010
C100011,2026-06-19,10,신용대출,0
C100012,2026-06-19,10,신용대출,0
C100013,2026-06-19,10,신용대출,0
C100014,2026-06-19,10,전세자금대출,70300303
C100015,2026-06-19,10,신용대출,105472016
C100016,2026-06-19,10,주택담보대출,79109587
C100017,2026-06-19,10,주택담보대출,45270926
C100018,2026-06-19,10,주택담보대출,85342060
C100019,2026-06-19,10,전세자금대출,0
C100020,2026-06-19,10,전세자금대출,0
C100021,2026-06-19,10,신용대출,17736893
C100022,2026-06-19,10,전세자금대출,11118219
C100023,2026-06-19,10,전세자금대출,9878243
C100024,2026-06-19,10,신용대출,35831647
C100025,2026-06-19,10,신용대출,83264345
C100026,2026-06-19,10,신용대출,10100957
C100027,2026-06-19,10,전세자금대출,100409969
C100028,2026-06-19,10,전세자금대출,95106661
C100029,2026-06-19,10,전세자금대출,120479029
C100030,2026-06-19,10,전세자금대출,0
C100031,2026-06-19,10,신용대출,0
C100032,2026-06-19,10,전세자금대출,861000000
C100033,2026-06-19,10,주택담보대출,0
C100034,2026-06-19,10,전세자금대출,0
C100035,2026-06-19,10,주택담보대출,102448090
C100036,2026-06-19,10,주택담보대출,74251161
C100037,2026-06-19,10,전세자금대출,71800972
C100038,2026-06-19,10,전세자금대출,0
C100039,2026-06-19,10,주택담보대출,25541630
C100040,2026-06-19,10,신용대출,0
C100041,2026-06-19,10,신용대출,32057033
C100042,2026-06-19,10,신용대출,103471766
C100043,2026-06-19,10,신용대출,82256013
C100044,2026-06-19,10,신용대출,5540886
C100045,2026-06-19,10,신용대출,0
C100046,2026-06-19,10,신용대출,0
C100047,2026-06-19,10,전세자금대출,64951642
C100048,2026-06-19,10,주택담보대출,50332859
C100049,2026-06-19,10,신용대출,0
C100050,2026-06-19,10,신용대출,93370846
C100051,2026-06-19,10,신용대출,0
C100052,2026-06-19,10,주택담보대출,0
C100053,2026-06-19,10,신용대출,112719163
C100054,2026-06-19,10,주택담보대출,42154449
C100055,2026-06-19,10,전세자금대출,100416157
C100056,2026-06-19,10,전세자금대출,0
C100057,2026-06-19,10,전세자금대출,5707039
C100058,2026-06-19,10,주택담보대출,0
C100059,2026-06-19,10,주택담보대출,0
C100060,2026-06-19,10,주택담보대출,50684368
C100061,2026-06-19,10,신용대출,33400098
C100062,2026-06-19,10,신용대출,0
C100063,2026-06-19,10,주택담보대출,23402696
C100064,2026-06-19,10,주택담보대출,11085744
C100065,2026-06-19,10,주택담보대출,0
C100066,2026-06-19,10,신용대출,0
C100067,2026-06-19,10,신용대출,0
C100068,2026-06-19,10,신용대출,0
C100069,2026-06-19,10,주택담보대출,104727013
C100070,2026-06-19,10,주택담보대출,105085893
C100071,2026-06-19,10,전세자금대출,38565230
C100072,2026-06-19,10,전세자금대출,99090761
C100073,2026-06-19,10,전세자금대출,0
C100074,2026-06-19,10,전세자금대출,24524099
C100075,2026-06-19,10,전세자금대출,0
C100076,2026-06-19,10,신용대출,61939009
C100077,2026-06-19,10,주택담보대출,6656721
C100078,2026-06-19,10,전세자금대출,64801422
C100079,2026-06-19,10,신용대출,0
C100080,2026-06-19,10,주택담보대출,28107831
C100081,2026-06-19,10,주택담보대출,22631134
C100082,2026-06-19,10,신용대출,11722267
C100083,2026-06-19,10,전세자금대출,56475508
C100084,2026-06-19,10,전세자금대출,42207766
C100085,2026-06-19,10,주택담보대출,29569097
C100086,2026-06-19,10,신용대출,0
C100087,2026-06-19,10,주택담보대출,87335003
C100088,2026-06-19,10,주택담보대출,69650403
C100089,2026-06-19,10,신용대출,17574536
C100090,2026-06-19,10,주택담보대출,63337964
C100091,2026-06-19,10,전세자금대출,9742804
C100092,2026-06-19,10,신용대출,100002658
C100093,2026-06-19,10,주택담보대출,75416784
C100094,2026-06-19,10,주택담보대출,0
