고객ID,기준일자,주차,카드구분,사용금액,사용건수
C100001,2026-06-19,10,체크카드,2673126,53
C100002,2026-06-19,10,신용카드,521487,10
C100003,2026-06-19,10,체크카드,0,0
C100004,2026-06-19,10,체크카드,0,0
C100005,2026-06-19,10,체크카드,3366548,67
C100006,2026-06-19,10,신용카드,0,0
C100007,2026-06-19,10,체크카드,3694372,74
C100008,2026-06-19,10,체크카드,27000000,8
C100009,2026-06-19,10,체크카드,670188,13
C100010,2026-06-19,10,신용카드,642411,13
C100011,2026-06-19,10,신용카드,3361850,67
C100012,2026-06-19,10,체크카드,2739436,55
C100013,2026-06-19,10,신용카드,560327,11
C100014,2026-06-19,10,신용카드,0,0
C100015,2026-06-19,10,체크카드,2178768,44
C100016,2026-06-19,10,체크카드,279480,6
C100017,2026-06-19,10,체크카드,1034005,21
C100018,2026-06-19,10,신용카드,844410,17
C100019,2026-06-19,10,체크카드,2184070,44
C100020,2026-06-19,10,체크카드,2870848,57
C100021,2026-06-19,10,체크카드,1100643,22
C100022,2026-06-19,10,신용카드,3300022,66
C100023,2026-06-19,10,체크카드,0,0
C100024,2026-06-19,10,신용카드,1387359,28
C100025,2026-06-19,10,체크카드,2667304,53
C100026,2026-06-19,10,신용카드,786641,16
C100027,2026-06-19,10,신용카드,1235417,25
C100028,2026-06-19,10,신용카드,886479,18
C100029,2026-06-19,10,체크카드,1597055,32
C100030,2026-06-19,10,체크카드,0,0
C100031,2026-06-19,10,신용카드,2568166,51
C100032,2026-06-19,10,체크카드,2019607,40
C100033,2026-06-19,10,체크카드,29000000,0
C100034,2026-06-19,10,체크카드,2926483,59
C100035,2026-06-19,10,체크카드,2930209,59
C100036,2026-06-19,10,신용카드,2547702,51
C100037,2026-06-19,10,체크카드,1114418,22
C100038,2026-06-19,10,신용카드,274061,5
C100039,2026-06-19,10,체크카드,3852547,77
C100040,2026-06-19,10,체크카드,2413120,48
C100041,2026-06-19,10,체크카드,0,0
C100042,2026-06-19,10,체크카드,2399591,48
C100043,2026-06-19,10,체크카드,480251,10
C100044,2026-06-19,10,체크카드,0,0
C100045,2026-06-19,10,체크카드,2305372,46
C100046,2026-06-19,10,신용카드,0,0
C100047,2026-06-19,10,신용카드,1336451,27
C100048,2026-06-19,10,신용카드,2781733,56
C100049,2026-06-19,10,체크카드,1587904,32
C100050,2026-06-19,10,신용카드,3023032,60
C100051,2026-06-19,10,체크카드,1374275,27
C100052,2026-06-19,10,신용카드,3064161,61
C100053,2026-06-19,10,신용카드,33000000,0
C100054,2026-06-19,10,체크카드,97216,2
C100055,2026-06-19,10,체크카드,187131,4
C100056,2026-06-19,10,체크카드,2988251,60
C100057,2026-06-19,10,체크카드,0,0
C100058,2026-06-19,10,신용카드,3248554,65
C100059,2026-06-19,10,체크카드,0,0
C100060,2026-06-19,10,체크카드,2971744,59
C100061,2026-06-19,10,신용카드,3636785,73
C100062,2026-06-19,10,체크카드,595728,12
C100063,2026-06-19,10,체크카드,1137212,23
C100064,2026-06-19,10,체크카드,3021937,60
C100065,2026-06-19,10,체크카드,3064454,61
