고객ID,기준일자,주차,상품구분,보험잔액
C100001,2026-06-12,9,저축성보험,0
C100002,2026-06-12,9,저축성보험,0
C100003,2026-06-12,9,저축성보험,16978470
C100004,2026-06-12,9,보장성보험,0
C100005,2026-06-12,9,저축성보험,29548891
C100006,2026-06-12,9,보장성보험,0
C100007,2026-06-12,9,저축성보험,0
C100008,2026-06-12,9,보장성보험,39452432
C100009,2026-06-12,9,보장성보험,0
C100010,2026-06-12,9,저축성보험,0
C100011,2026-06-12,9,보장성보험,46013167
C100012,2026-06-12,9,보장성보험,0
C100013,2026-06-12,9,저축성보험,17627684
C100014,2026-06-12,9,보장성보험,19486694
C100015,2026-06-12,9,보장성보험,17350763
C100016,2026-06-12,9,보장성보험,7151137
C100017,2026-06-12,9,저축성보험,32974978
C100018,2026-06-12,9,저축성보험,47298894
C100019,2026-06-12,9,보장성보험,11867163
C100020,2026-06-12,9,보장성보험,0
C100021,2026-06-12,9,저축성보험,16245043
C100022,2026-06-12,9,저축성보험,10281303
C100023,2026-06-12,9,보장성보험,48155475
C100024,2026-06-12,9,저축성보험,0
C100025,2026-06-12,9,보장성보험,0
C100026,2026-06-12,9,보장성보험,0
C100027,2026-06-12,9,저축성보험,31224489
C100028,2026-06-12,9,보장성보험,38165236
C100029,2026-06-12,9,보장성보험,23156994
C100030,2026-06-12,9,보장성보험,0
C100031,2026-06-12,9,저축성보험,0
C100032,2026-06-12,9,저축성보험,0
C100033,2026-06-12,9,저축성보험,0
C100034,2026-06-12,9,저축성보험,10239079
C100035,2026-06-12,9,보장성보험,0
C100036,2026-06-12,9,저축성보험,0
C100037,2026-06-12,9,저축성보험,3728112
C100038,2026-06-12,9,저축성보험,9811924
C100039,2026-06-12,9,보장성보험,15806947
C100040,2026-06-12,9,보장성보험,0
C100041,2026-06-12,9,보장성보험,0
C100042,2026-06-12,9,보장성보험,0
C100043,2026-06-12,9,보장성보험,17728303
C100044,2026-06-12,9,보장성보험,18830254
C100045,2026-06-12,9,보장성보험,42944119
C100046,2026-06-12,9,저축성보험,0
C100047,2026-06-12,9,보장성보험,16866689
C100048,2026-06-12,9,저축성보험,3653043
C100049,2026-06-12,9,보장성보험,0
C100050,2026-06-12,9,저축성보험,8904893
C100051,2026-06-12,9,저축성보험,35651326
C100052,2026-06-12,9,저축성보험,31460391
C100053,2026-06-12,9,보장성보험,28855883
C100054,2026-06-12,9,보장성보험,16531319
C100055,2026-06-12,9,저축성보험,0
C100056,2026-06-12,9,보장성보험,33302195
C100057,2026-06-12,9,저축성보험,0
C100058,2026-06-12,9,저축성보험,23998063
C100059,2026-06-12,9,보장성보험,46386811
C100060,2026-06-12,9,보장성보험,32675077
C100061,2026-06-12,9,저축성보험,0
C100062,2026-06-12,9,보장성보험,15659127
C100063,2026-06-12,9,보장성보험,0
C100064,2026-06-12,9,저축성보험,34290114
C100065,2026-06-12,9,보장성보험,44399753
C100066,2026-06-12,9,저축성보험,0
C100067,2026-06-12,9,보장성보험,0
C100068,2026-06-12,9,저축성보험,18525499
C100069,2026-06-12,9,저축성보험,13241946
C100070,2026-06-12,9,보장성보험,29301673
C100071,2026-06-12,9,저축성보험,0
C100072,2026-06-12,9,보장성보험,14135429
C100073,2026-06-12,9,저축성보험,33161935
C100074,2026-06-12,9,보장성보험,0
C100075,2026-06-12,9,보장성보험,0
C100076,2026-06-12,9,저축성보험,31402740
C100077,2026-06-12,9,보장성보험,0
C100078,2026-06-12,9,저축성보험,23638471
C100079,2026-06-12,9,보장성보험,12750350
C100080,2026-06-12,9,저축성보험,21672381
C100081,2026-06-12,9,저축성보험,32048458
C100082,2026-06-12,9,저축성보험,43652735
C100083,2026-06-12,9,보장성보험,0
C100084,2026-06-12,9,저축성보험,0
C100085,2026-06-12,9,저축성보험,31804239
C100086,2026-06-12,9,저축성보험,46363523
C100087,2026-06-12,9,저축성보험,0
C100088,2026-06-12,9,저축성보험,35625634
C100089,2026-06-12,9,보장성보험,35079141
C100090,2026-06-12,9,저축성보험,0
C100091,2026-06-12,9,보장성보험,28747507
C100092,2026-06-12,9,보장성보험,46815558
C100093,2026-06-12,9,보장성보험,0
C100094,2026-06-12,9,저축성보험,23477882
C100095,2026-06-12,9,저축성보험,12560213
C100096,2026-06-12,9,저축성보험,3015786
C100097,2026-06-12,9,보장성보험,0
C100098,2026-06-12,9,보장성보험,0
C100099,2026-06-12,9,보장성보험,0
C100100,2026-06-12,9,저축성보험,0
C100101,2026-06-12,9,보장성보험,12363410
C100102,2026-06-12,9,저축성보험,0
C100103,2026-06-12,9,보장성보험,34400064
C100104,2026-06-12,9,저축성보험,27105576
C100105,2026-06-12,9,보장성보험,0
C100106,2026-06-12,9,저축성보험,9123861
C100107,2026-06-12,9,저축성보험,0
C100108,2026-06-12,9,보장성보험,22083861
C100109,2026-06-12,9,저축성보험,44116760
C100110,2026-06-12,9,저축성보험,27348681
