고객ID,기준일자,주차,상품구분,여신잔액
C100001,2026-06-12,9,신용대출,0
C100002,2026-06-12,9,신용대출,0
C100003,2026-06-12,9,주택담보대출,46186534
C100004,2026-06-12,9,주택담보대출,34006738
C100005,2026-06-12,9,신용대출,6152187
C100006,2026-06-12,9,전세자금대출,23060362
C100007,2026-06-12,9,전세자금대출,0
C100008,2026-06-12,9,신용대출,97996411
C100009,2026-06-12,9,주택담보대출,0
C100010,2026-06-12,9,주택담보대출,111897199
C100011,2026-06-12,9,신용대출,0
C100012,2026-06-12,9,신용대출,0
C100013,2026-06-12,9,신용대출,0
C100014,2026-06-12,9,전세자금대출,64125485
C100015,2026-06-12,9,신용대출,109493882
C100016,2026-06-12,9,주택담보대출,78417053
C100017,2026-06-12,9,주택담보대출,42421644
C100018,2026-06-12,9,주택담보대출,83532623
C100019,2026-06-12,9,전세자금대출,0
C100020,2026-06-12,9,전세자금대출,0
C100021,2026-06-12,9,신용대출,18990150
C100022,2026-06-12,9,전세자금대출,10470553
C100023,2026-06-12,9,전세자금대출,9676418
C100024,2026-06-12,9,신용대출,36569611
C100025,2026-06-12,9,신용대출,85568406
C100026,2026-06-12,9,신용대출,11006558
C100027,2026-06-12,9,전세자금대출,99155417
C100028,2026-06-12,9,전세자금대출,96639921
C100029,2026-06-12,9,전세자금대출,119431585
C100030,2026-06-12,9,전세자금대출,0
C100031,2026-06-12,9,신용대출,0
C100032,2026-06-12,9,전세자금대출,872000000
C100033,2026-06-12,9,주택담보대출,0
C100034,2026-06-12,9,전세자금대출,0
C100035,2026-06-12,9,주택담보대출,100449820
C100036,2026-06-12,9,주택담보대출,75899858
C100037,2026-06-12,9,전세자금대출,63439903
C100038,2026-06-12,9,전세자금대출,0
C100039,2026-06-12,9,주택담보대출,26358924
C100040,2026-06-12,9,신용대출,0
C100041,2026-06-12,9,신용대출,30546176
C100042,2026-06-12,9,신용대출,99852400
C100043,2026-06-12,9,신용대출,83798419
C100044,2026-06-12,9,신용대출,4970170
C100045,2026-06-12,9,신용대출,0
C100046,2026-06-12,9,신용대출,0
C100047,2026-06-12,9,전세자금대출,64500832
C100048,2026-06-12,9,주택담보대출,51729496
C100049,2026-06-12,9,신용대출,0
C100050,2026-06-12,9,신용대출,91212997
C100051,2026-06-12,9,신용대출,0
C100052,2026-06-12,9,주택담보대출,0
C100053,2026-06-12,9,신용대출,113665984
C100054,2026-06-12,9,주택담보대출,42495737
C100055,2026-06-12,9,전세자금대출,101998107
C100056,2026-06-12,9,전세자금대출,0
C100057,2026-06-12,9,전세자금대출,5852438
C100058,2026-06-12,9,주택담보대출,0
C100059,2026-06-12,9,주택담보대출,0
C100060,2026-06-12,9,주택담보대출,47815442
C100061,2026-06-12,9,신용대출,32706762
C100062,2026-06-12,9,신용대출,0
C100063,2026-06-12,9,주택담보대출,21988113
C100064,2026-06-12,9,주택담보대출,10611353
C100065,2026-06-12,9,주택담보대출,0
C100066,2026-06-12,9,신용대출,0
C100067,2026-06-12,9,신용대출,0
C100068,2026-06-12,9,신용대출,0
C100069,2026-06-12,9,주택담보대출,105090851
C100070,2026-06-12,9,주택담보대출,108209600
C100071,2026-06-12,9,전세자금대출,37561446
C100072,2026-06-12,9,전세자금대출,94104611
C100073,2026-06-12,9,전세자금대출,0
C100074,2026-06-12,9,전세자금대출,23409312
C100075,2026-06-12,9,전세자금대출,0
C100076,2026-06-12,9,신용대출,67385022
C100077,2026-06-12,9,주택담보대출,6589578
C100078,2026-06-12,9,전세자금대출,64673342
C100079,2026-06-12,9,신용대출,0
C100080,2026-06-12,9,주택담보대출,29130140
C100081,2026-06-12,9,주택담보대출,22462142
C100082,2026-06-12,9,신용대출,11806745
C100083,2026-06-12,9,전세자금대출,57048019
C100084,2026-06-12,9,전세자금대출,42079877
C100085,2026-06-12,9,주택담보대출,29937238
C100086,2026-06-12,9,신용대출,0
C100087,2026-06-12,9,주택담보대출,88427172
C100088,2026-06-12,9,주택담보대출,63537707
C100089,2026-06-12,9,신용대출,16572504
C100090,2026-06-12,9,주택담보대출,65158947
C100091,2026-06-12,9,전세자금대출,9283164
C100092,2026-06-12,9,신용대출,99150026
C100093,2026-06-12,9,주택담보대출,75985962
C100094,2026-06-12,9,주택담보대출,0
C100095,2026-06-12,9,전세자금대출,49788274
C100096,2026-06-12,9,전세자금대출,98104952
C100097,2026-06-12,9,신용대출,0
C100098,2026-06-12,9,전세자금대출,66422776
C100099,2026-06-12,9,신용대출,40706065
C100100,2026-06-12,9,신용대출,0
C100101,2026-06-12,9,전세자금대출,104339349
C100102,2026-06-12,9,신용대출,102838549
C100103,2026-06-12,9,전세자금대출,84284478
C100104,2026-06-12,9,전세자금대출,0
C100105,2026-06-12,9,전세자금대출,0
C100106,2026-06-12,9,신용대출,65564612
C100107,2026-06-12,9,주택담보대출,97026882
C100108,2026-06-12,9,신용대출,97342683
C100109,2026-06-12,9,주택담보대출,47558083
C100110,2026-06-12,9,주택담보대출,37237812
C100111,2026-06-12,9,전세자금대출,58681491
C100112,2026-06-12,9,신용대출,57102210
C100113,2026-06-12,9,신용대출,73699614
C100114,2026-06-12,9,주택담보대출,7101787
C100115,2026-06-12,9,신용대출,867000000
C100116,2026-06-12,9,주택담보대출,62330028
C100117,2026-06-12,9,전세자금대출,94482211
C100118,2026-06-12,9,신용대출,83780922
C100119,2026-06-12,9,전세자금대출,0
C100120,2026-06-12,9,신용대출,0
C100121,2026-06-12,9,주택담보대출,38304872
C100122,2026-06-12,9,신용대출,55735175
C100123,2026-06-12,9,전세자금대출,0
