고객ID,기준일자,주차,카드구분,사용금액,사용건수
C100001,2026-04-17,1,체크카드,2826621,57
C100002,2026-04-17,1,신용카드,640951,13
C100003,2026-04-17,1,체크카드,0,0
C100004,2026-04-17,1,체크카드,0,0
C100005,2026-04-17,1,체크카드,2843288,57
C100006,2026-04-17,1,신용카드,0,0
C100007,2026-04-17,1,체크카드,4207670,84
C100008,2026-04-17,1,체크카드,387300,8
C100009,2026-04-17,1,체크카드,762486,15
C100010,2026-04-17,1,신용카드,621622,12
C100011,2026-04-17,1,신용카드,3052148,61
C100012,2026-04-17,1,체크카드,3172798,63
C100013,2026-04-17,1,신용카드,605796,12
C100014,2026-04-17,1,신용카드,0,0
C100015,2026-04-17,1,체크카드,2015425,40
C100016,2026-04-17,1,체크카드,272851,5
C100017,2026-04-17,1,체크카드,862734,17
C100018,2026-04-17,1,신용카드,783348,16
C100019,2026-04-17,1,체크카드,2642215,53
C100020,2026-04-17,1,체크카드,3031711,61
C100021,2026-04-17,1,체크카드,1083544,22
C100022,2026-04-17,1,신용카드,3008471,60
C100023,2026-04-17,1,체크카드,0,0
C100024,2026-04-17,1,신용카드,1579205,32
C100025,2026-04-17,1,체크카드,2891052,58
C100026,2026-04-17,1,신용카드,945452,19
C100027,2026-04-17,1,신용카드,1134749,23
C100028,2026-04-17,1,신용카드,983277,20
C100029,2026-04-17,1,체크카드,1314177,26
C100030,2026-04-17,1,체크카드,0,0
C100031,2026-04-17,1,신용카드,2250462,45
C100032,2026-04-17,1,체크카드,1701495,34
C100033,2026-04-17,1,체크카드,0,0
C100034,2026-04-17,1,체크카드,2935573,59
C100035,2026-04-17,1,체크카드,2809458,56
C100036,2026-04-17,1,신용카드,2461793,49
C100037,2026-04-17,1,체크카드,888839,18
C100038,2026-04-17,1,신용카드,302941,6
C100039,2026-04-17,1,체크카드,3491123,70
C100040,2026-04-17,1,체크카드,2778368,56
C100041,2026-04-17,1,체크카드,0,0
C100042,2026-04-17,1,체크카드,2751055,55
C100043,2026-04-17,1,체크카드,484626,10
C100044,2026-04-17,1,체크카드,0,0
C100045,2026-04-17,1,체크카드,2600576,52
C100046,2026-04-17,1,신용카드,0,0
C100047,2026-04-17,1,신용카드,1594820,32
C100048,2026-04-17,1,신용카드,3215289,64
C100049,2026-04-17,1,체크카드,1915249,38
C100050,2026-04-17,1,신용카드,2637378,53
C100051,2026-04-17,1,체크카드,1197659,24
C100052,2026-04-17,1,신용카드,2973381,59
C100053,2026-04-17,1,신용카드,0,0
C100054,2026-04-17,1,체크카드,110959,2
C100055,2026-04-17,1,체크카드,186327,4
C100056,2026-04-17,1,체크카드,3415790,68
C100057,2026-04-17,1,체크카드,0,0
C100058,2026-04-17,1,신용카드,3082750,62
C100059,2026-04-17,1,체크카드,0,0
C100060,2026-04-17,1,체크카드,2403229,48
C100061,2026-04-17,1,신용카드,3863373,77
C100062,2026-04-17,1,체크카드,719455,14
C100063,2026-04-17,1,체크카드,1118429,22
C100064,2026-04-17,1,체크카드,2786534,56
C100065,2026-04-17,1,체크카드,2700704,54
C100066,2026-04-17,1,체크카드,1453118,29
C100067,2026-04-17,1,신용카드,3212566,64
C100068,2026-04-17,1,체크카드,2925387,59
C100069,2026-04-17,1,신용카드,3221336,64
C100070,2026-04-17,1,체크카드,844206,17
C100071,2026-04-17,1,신용카드,345015,7
C100072,2026-04-17,1,체크카드,3414824,68
C100073,2026-04-17,1,신용카드,938153,19
C100074,2026-04-17,1,신용카드,3356860,67
C100075,2026-04-17,1,신용카드,2635838,53
C100076,2026-04-17,1,체크카드,3130961,63
C100077,2026-04-17,1,체크카드,1405498,28
C100078,2026-04-17,1,체크카드,1812237,36
C100079,2026-04-17,1,체크카드,0,0
C100080,2026-04-17,1,신용카드,2036165,41
C100081,2026-04-17,1,신용카드,1323013,26
C100082,2026-04-17,1,신용카드,413014,8
C100083,2026-04-17,1,신용카드,1000885,20
C100084,2026-04-17,1,신용카드,2048439,41
C100085,2026-04-17,1,체크카드,0,0
C100086,2026-04-17,1,체크카드,1997035,40
C100087,2026-04-17,1,신용카드,0,0
C100088,2026-04-17,1,신용카드,0,0
C100089,2026-04-17,1,체크카드,1321596,26
C100090,2026-04-17,1,신용카드,468461,9
C100091,2026-04-17,1,체크카드,3746034,75
C100092,2026-04-17,1,신용카드,3000278,60
C100093,2026-04-17,1,체크카드,685545,14
C100094,2026-04-17,1,신용카드,2442678,49
C100095,2026-04-17,1,체크카드,696636,14
C100096,2026-04-17,1,신용카드,1621626,32
C100097,2026-04-17,1,신용카드,3206521,64
C100098,2026-04-17,1,체크카드,1466246,29
C100099,2026-04-17,1,체크카드,355108,7
C100100,2026-04-17,1,체크카드,1572027,31
C100101,2026-04-17,1,체크카드,3218182,64
C100102,2026-04-17,1,신용카드,3137703,63
C100103,2026-04-17,1,체크카드,3565384,71
C100104,2026-04-17,1,신용카드,3114563,62
C100105,2026-04-17,1,체크카드,84916,2
C100106,2026-04-17,1,체크카드,73634,1
C100107,2026-04-17,1,체크카드,1178647,24
C100108,2026-04-17,1,체크카드,1677402,34
C100109,2026-04-17,1,신용카드,1862092,37
C100110,2026-04-17,1,체크카드,1381517,28
C100111,2026-04-17,1,신용카드,3603387,72
C100112,2026-04-17,1,신용카드,0,0
C100113,2026-04-17,1,신용카드,2599303,52
C100114,2026-04-17,1,체크카드,3327999,67
C100115,2026-04-17,1,체크카드,3756882,75
C100116,2026-04-17,1,신용카드,1190997,24
C100117,2026-04-17,1,신용카드,165198,3
C100118,2026-04-17,1,신용카드,506182,10
C100119,2026-04-17,1,신용카드,729909,15
C100120,2026-04-17,1,체크카드,112022,2
C100121,2026-04-17,1,체크카드,794873,16
C100122,2026-04-17,1,신용카드,416495,8
C100123,2026-04-17,1,체크카드,0,0
C100124,2026-04-17,1,체크카드,924966,18
C100125,2026-04-17,1,신용카드,1070241,21
C100126,2026-04-17,1,신용카드,3360551,67
C100127,2026-04-17,1,신용카드,1922569,38
C100128,2026-04-17,1,신용카드,3991565,80
C100129,2026-04-17,1,신용카드,2754209,55
C100130,2026-04-17,1,신용카드,3287800,66
C100131,2026-04-17,1,신용카드,2168661,43
C100132,2026-04-17,1,신용카드,320083,6
C100133,2026-04-17,1,신용카드,561044,11
C100134,2026-04-17,1,체크카드,0,0
C100135,2026-04-17,1,체크카드,1469848,29
C100136,2026-04-17,1,체크카드,2630322,53
C100137,2026-04-17,1,신용카드,598446,12
C100138,2026-04-17,1,체크카드,2448341,49
C100139,2026-04-17,1,체크카드,3309011,66
C100140,2026-04-17,1,체크카드,3848968,77
C100141,2026-04-17,1,신용카드,1393747,28
C100142,2026-04-17,1,신용카드,2311900,46
C100143,2026-04-17,1,신용카드,3697116,74
C100144,2026-04-17,1,신용카드,3208787,64
C100145,2026-04-17,1,체크카드,2614747,52
C100146,2026-04-17,1,체크카드,3872714,77
C100147,2026-04-17,1,체크카드,574144,11
C100148,2026-04-17,1,신용카드,1467672,29
C100149,2026-04-17,1,신용카드,3033828,61
C100150,2026-04-17,1,체크카드,3724170,74
C100151,2026-04-17,1,신용카드,0,0
C100152,2026-04-17,1,체크카드,2783167,56
C100153,2026-04-17,1,신용카드,1312129,26
C100154,2026-04-17,1,신용카드,3263600,65
C100155,2026-04-17,1,신용카드,3974343,79
C100156,2026-04-17,1,체크카드,3315504,66
C100157,2026-04-17,1,신용카드,2058698,41
C100158,2026-04-17,1,신용카드,3109632,62
C100159,2026-04-17,1,체크카드,0,0
C100160,2026-04-17,1,체크카드,1599088,32
C100161,2026-04-17,1,체크카드,2037975,41
