고객ID,기준일자,주차,상품구분,보험잔액
C100001,2026-04-17,1,저축성보험,0
C100002,2026-04-17,1,저축성보험,0
C100003,2026-04-17,1,저축성보험,16523093
C100004,2026-04-17,1,보장성보험,0
C100005,2026-04-17,1,저축성보험,27527750
C100006,2026-04-17,1,보장성보험,0
C100007,2026-04-17,1,저축성보험,0
C100008,2026-04-17,1,보장성보험,39030112
C100009,2026-04-17,1,보장성보험,0
C100010,2026-04-17,1,저축성보험,0
C100011,2026-04-17,1,보장성보험,44074226
C100012,2026-04-17,1,보장성보험,0
C100013,2026-04-17,1,저축성보험,17177261
C100014,2026-04-17,1,보장성보험,19867602
C100015,2026-04-17,1,보장성보험,17061267
C100016,2026-04-17,1,보장성보험,7055137
C100017,2026-04-17,1,저축성보험,31891409
C100018,2026-04-17,1,저축성보험,45830718
C100019,2026-04-17,1,보장성보험,11009229
C100020,2026-04-17,1,보장성보험,0
C100021,2026-04-17,1,저축성보험,15406023
C100022,2026-04-17,1,저축성보험,10114860
C100023,2026-04-17,1,보장성보험,46606792
C100024,2026-04-17,1,저축성보험,0
C100025,2026-04-17,1,보장성보험,0
C100026,2026-04-17,1,보장성보험,0
C100027,2026-04-17,1,저축성보험,29425881
C100028,2026-04-17,1,보장성보험,38210159
C100029,2026-04-17,1,보장성보험,20957665
C100030,2026-04-17,1,보장성보험,0
C100031,2026-04-17,1,저축성보험,0
C100032,2026-04-17,1,저축성보험,0
C100033,2026-04-17,1,저축성보험,0
C100034,2026-04-17,1,저축성보험,9447936
C100035,2026-04-17,1,보장성보험,0
C100036,2026-04-17,1,저축성보험,0
C100037,2026-04-17,1,저축성보험,4044718
C100038,2026-04-17,1,저축성보험,10219209
C100039,2026-04-17,1,보장성보험,15991914
C100040,2026-04-17,1,보장성보험,0
C100041,2026-04-17,1,보장성보험,0
C100042,2026-04-17,1,보장성보험,0
C100043,2026-04-17,1,보장성보험,18374545
C100044,2026-04-17,1,보장성보험,18806170
C100045,2026-04-17,1,보장성보험,41979335
C100046,2026-04-17,1,저축성보험,0
C100047,2026-04-17,1,보장성보험,15848523
C100048,2026-04-17,1,저축성보험,3371182
C100049,2026-04-17,1,보장성보험,0
C100050,2026-04-17,1,저축성보험,8683060
C100051,2026-04-17,1,저축성보험,33022542
C100052,2026-04-17,1,저축성보험,31609003
C100053,2026-04-17,1,보장성보험,28078548
C100054,2026-04-17,1,보장성보험,16795137
C100055,2026-04-17,1,저축성보험,0
C100056,2026-04-17,1,보장성보험,31979716
C100057,2026-04-17,1,저축성보험,0
C100058,2026-04-17,1,저축성보험,24743933
C100059,2026-04-17,1,보장성보험,49791530
C100060,2026-04-17,1,보장성보험,33270013
C100061,2026-04-17,1,저축성보험,0
C100062,2026-04-17,1,보장성보험,14499011
C100063,2026-04-17,1,보장성보험,0
C100064,2026-04-17,1,저축성보험,33325713
C100065,2026-04-17,1,보장성보험,43272645
C100066,2026-04-17,1,저축성보험,0
C100067,2026-04-17,1,보장성보험,0
C100068,2026-04-17,1,저축성보험,17968818
C100069,2026-04-17,1,저축성보험,13817563
C100070,2026-04-17,1,보장성보험,29657770
C100071,2026-04-17,1,저축성보험,0
C100072,2026-04-17,1,보장성보험,14868085
C100073,2026-04-17,1,저축성보험,31771484
C100074,2026-04-17,1,보장성보험,0
C100075,2026-04-17,1,보장성보험,0
C100076,2026-04-17,1,저축성보험,29943558
C100077,2026-04-17,1,보장성보험,0
C100078,2026-04-17,1,저축성보험,24900339
C100079,2026-04-17,1,보장성보험,12573734
C100080,2026-04-17,1,저축성보험,20668994
C100081,2026-04-17,1,저축성보험,30926672
C100082,2026-04-17,1,저축성보험,41089887
C100083,2026-04-17,1,보장성보험,0
C100084,2026-04-17,1,저축성보험,0
C100085,2026-04-17,1,저축성보험,30374156
C100086,2026-04-17,1,저축성보험,45462508
C100087,2026-04-17,1,저축성보험,0
C100088,2026-04-17,1,저축성보험,34279346
C100089,2026-04-17,1,보장성보험,35334762
C100090,2026-04-17,1,저축성보험,0
C100091,2026-04-17,1,보장성보험,26668657
C100092,2026-04-17,1,보장성보험,47398627
C100093,2026-04-17,1,보장성보험,0
C100094,2026-04-17,1,저축성보험,22893926
C100095,2026-04-17,1,저축성보험,11656386
C100096,2026-04-17,1,저축성보험,3211662
C100097,2026-04-17,1,보장성보험,0
C100098,2026-04-17,1,보장성보험,0
C100099,2026-04-17,1,보장성보험,0
C100100,2026-04-17,1,저축성보험,0
C100101,2026-04-17,1,보장성보험,13320565
C100102,2026-04-17,1,저축성보험,0
C100103,2026-04-17,1,보장성보험,33801438
C100104,2026-04-17,1,저축성보험,28371220
C100105,2026-04-17,1,보장성보험,0
C100106,2026-04-17,1,저축성보험,9141158
C100107,2026-04-17,1,저축성보험,0
C100108,2026-04-17,1,보장성보험,22614606
C100109,2026-04-17,1,저축성보험,43779183
C100110,2026-04-17,1,저축성보험,27965558
C100111,2026-04-17,1,저축성보험,46439160
C100112,2026-04-17,1,보장성보험,0
C100113,2026-04-17,1,보장성보험,0
C100114,2026-04-17,1,저축성보험,29300640
C100115,2026-04-17,1,저축성보험,39361188
C100116,2026-04-17,1,보장성보험,3376133
C100117,2026-04-17,1,저축성보험,0
C100118,2026-04-17,1,저축성보험,0
C100119,2026-04-17,1,보장성보험,0
C100120,2026-04-17,1,저축성보험,40602908
C100121,2026-04-17,1,저축성보험,14772259
C100122,2026-04-17,1,보장성보험,22632950
C100123,2026-04-17,1,저축성보험,14120412
C100124,2026-04-17,1,보장성보험,28816989
C100125,2026-04-17,1,저축성보험,40480275
C100126,2026-04-17,1,저축성보험,0
C100127,2026-04-17,1,보장성보험,0
C100128,2026-04-17,1,보장성보험,24493228
C100129,2026-04-17,1,보장성보험,3097224
C100130,2026-04-17,1,저축성보험,24312162
C100131,2026-04-17,1,저축성보험,22770944
C100132,2026-04-17,1,보장성보험,0
C100133,2026-04-17,1,보장성보험,2657578
C100134,2026-04-17,1,보장성보험,29027015
C100135,2026-04-17,1,저축성보험,5585421
C100136,2026-04-17,1,보장성보험,0
C100137,2026-04-17,1,저축성보험,45832723
C100138,2026-04-17,1,보장성보험,7657362
C100139,2026-04-17,1,보장성보험,19076088
C100140,2026-04-17,1,저축성보험,0
C100141,2026-04-17,1,저축성보험,0
C100142,2026-04-17,1,보장성보험,41346705
C100143,2026-04-17,1,저축성보험,0
C100144,2026-04-17,1,저축성보험,0
C100145,2026-04-17,1,보장성보험,0
C100146,2026-04-17,1,보장성보험,45364683
C100147,2026-04-17,1,보장성보험,10867726
C100148,2026-04-17,1,보장성보험,28085456
C100149,2026-04-17,1,저축성보험,30459232
C100150,2026-04-17,1,저축성보험,0
C100151,2026-04-17,1,보장성보험,34880320
C100152,2026-04-17,1,보장성보험,0
C100153,2026-04-17,1,보장성보험,0
C100154,2026-04-17,1,보장성보험,44920103
C100155,2026-04-17,1,저축성보험,27789434
C100156,2026-04-17,1,보장성보험,3917395
C100157,2026-04-17,1,보장성보험,24642927
C100158,2026-04-17,1,저축성보험,49028539
C100159,2026-04-17,1,보장성보험,2568947
C100160,2026-04-17,1,보장성보험,0
C100161,2026-04-17,1,보장성보험,13399686
C100162,2026-04-17,1,저축성보험,36471543
C100163,2026-04-17,1,보장성보험,25838159
C100164,2026-04-17,1,저축성보험,38111444
C100165,2026-04-17,1,보장성보험,26159831
C100166,2026-04-17,1,저축성보험,24108291
C100167,2026-04-17,1,저축성보험,42084184
C100168,2026-04-17,1,보장성보험,0
C100169,2026-04-17,1,저축성보험,49031570
C100170,2026-04-17,1,저축성보험,29234421
C100171,2026-04-17,1,저축성보험,31357573
C100172,2026-04-17,1,저축성보험,25177327
C100173,2026-04-17,1,보장성보험,23074892
C100174,2026-04-17,1,보장성보험,28141995
C100175,2026-04-17,1,보장성보험,12794041
C100176,2026-04-17,1,저축성보험,33190105
C100177,2026-04-17,1,저축성보험,2342714
C100178,2026-04-17,1,보장성보험,17645433
C100179,2026-04-17,1,저축성보험,0
C100180,2026-04-17,1,저축성보험,0
C100181,2026-04-17,1,보장성보험,0
C100182,2026-04-17,1,보장성보험,5837505
C100183,2026-04-17,1,보장성보험,0
C100184,2026-04-17,1,저축성보험,35647482
C100185,2026-04-17,1,보장성보험,39490092
C100186,2026-04-17,1,저축성보험,24068884
C100187,2026-04-17,1,저축성보험,7061783
C100188,2026-04-17,1,보장성보험,0
C100189,2026-04-17,1,저축성보험,30139664
C100190,2026-04-17,1,저축성보험,23769940
C100191,2026-04-17,1,보장성보험,0
C100192,2026-04-17,1,보장성보험,0
C100193,2026-04-17,1,저축성보험,0
C100194,2026-04-17,1,보장성보험,27962602
C100195,2026-04-17,1,보장성보험,19574769
C100196,2026-04-17,1,보장성보험,40033471
C100197,2026-04-17,1,저축성보험,30798632
C100198,2026-04-17,1,보장성보험,38027130
C100199,2026-04-17,1,저축성보험,26720012
C100200,2026-04-17,1,저축성보험,0
C100201,2026-04-17,1,저축성보험,0
