고객ID,기준일자,주차,상품구분,여신잔액
C100001,2026-04-17,1,신용대출,0
C100002,2026-04-17,1,신용대출,0
C100003,2026-04-17,1,주택담보대출,43926524
C100004,2026-04-17,1,주택담보대출,32294657
C100005,2026-04-17,1,신용대출,6335908
C100006,2026-04-17,1,전세자금대출,21036824
C100007,2026-04-17,1,전세자금대출,0
C100008,2026-04-17,1,신용대출,103041045
C100009,2026-04-17,1,주택담보대출,0
C100010,2026-04-17,1,주택담보대출,99400262
C100011,2026-04-17,1,신용대출,0
C100012,2026-04-17,1,신용대출,0
C100013,2026-04-17,1,신용대출,0
C100014,2026-04-17,1,전세자금대출,60098751
C100015,2026-04-17,1,신용대출,103864206
C100016,2026-04-17,1,주택담보대출,75657573
C100017,2026-04-17,1,주택담보대출,46657052
C100018,2026-04-17,1,주택담보대출,84862745
C100019,2026-04-17,1,전세자금대출,0
C100020,2026-04-17,1,전세자금대출,0
C100021,2026-04-17,1,신용대출,17937575
C100022,2026-04-17,1,전세자금대출,10684570
C100023,2026-04-17,1,전세자금대출,9034608
C100024,2026-04-17,1,신용대출,33064615
C100025,2026-04-17,1,신용대출,88950758
C100026,2026-04-17,1,신용대출,9782943
C100027,2026-04-17,1,전세자금대출,92477183
C100028,2026-04-17,1,전세자금대출,97845932
C100029,2026-04-17,1,전세자금대출,109037168
C100030,2026-04-17,1,전세자금대출,0
C100031,2026-04-17,1,신용대출,0
C100032,2026-04-17,1,전세자금대출,47471711
C100033,2026-04-17,1,주택담보대출,0
C100034,2026-04-17,1,전세자금대출,0
C100035,2026-04-17,1,주택담보대출,96478207
C100036,2026-04-17,1,주택담보대출,82063142
C100037,2026-04-17,1,전세자금대출,61210064
C100038,2026-04-17,1,전세자금대출,0
C100039,2026-04-17,1,주택담보대출,25397178
C100040,2026-04-17,1,신용대출,0
C100041,2026-04-17,1,신용대출,34347850
C100042,2026-04-17,1,신용대출,112931315
C100043,2026-04-17,1,신용대출,79303381
C100044,2026-04-17,1,신용대출,4900600
C100045,2026-04-17,1,신용대출,0
C100046,2026-04-17,1,신용대출,0
C100047,2026-04-17,1,전세자금대출,64231371
C100048,2026-04-17,1,주택담보대출,48005238
C100049,2026-04-17,1,신용대출,0
C100050,2026-04-17,1,신용대출,93089306
C100051,2026-04-17,1,신용대출,0
C100052,2026-04-17,1,주택담보대출,0
C100053,2026-04-17,1,신용대출,105963945
C100054,2026-04-17,1,주택담보대출,41357394
C100055,2026-04-17,1,전세자금대출,92555412
C100056,2026-04-17,1,전세자금대출,0
C100057,2026-04-17,1,전세자금대출,6153513
C100058,2026-04-17,1,주택담보대출,0
C100059,2026-04-17,1,주택담보대출,0
C100060,2026-04-17,1,주택담보대출,30000000
C100061,2026-04-17,1,신용대출,30557633
C100062,2026-04-17,1,신용대출,0
C100063,2026-04-17,1,주택담보대출,25420742
C100064,2026-04-17,1,주택담보대출,10756839
C100065,2026-04-17,1,주택담보대출,0
C100066,2026-04-17,1,신용대출,0
C100067,2026-04-17,1,신용대출,0
C100068,2026-04-17,1,신용대출,0
C100069,2026-04-17,1,주택담보대출,99416018
C100070,2026-04-17,1,주택담보대출,102922812
C100071,2026-04-17,1,전세자금대출,40248484
C100072,2026-04-17,1,전세자금대출,99140715
C100073,2026-04-17,1,전세자금대출,0
C100074,2026-04-17,1,전세자금대출,20299680
C100075,2026-04-17,1,전세자금대출,0
C100076,2026-04-17,1,신용대출,59936973
C100077,2026-04-17,1,주택담보대출,5895001
C100078,2026-04-17,1,전세자금대출,72243748
C100079,2026-04-17,1,신용대출,0
C100080,2026-04-17,1,주택담보대출,30552077
C100081,2026-04-17,1,주택담보대출,22630485
C100082,2026-04-17,1,신용대출,11131239
C100083,2026-04-17,1,전세자금대출,52426342
C100084,2026-04-17,1,전세자금대출,39508513
C100085,2026-04-17,1,주택담보대출,29118195
C100086,2026-04-17,1,신용대출,0
C100087,2026-04-17,1,주택담보대출,79368441
C100088,2026-04-17,1,주택담보대출,58761766
C100089,2026-04-17,1,신용대출,17426625
C100090,2026-04-17,1,주택담보대출,68161022
C100091,2026-04-17,1,전세자금대출,8093763
C100092,2026-04-17,1,신용대출,103913484
C100093,2026-04-17,1,주택담보대출,82152835
C100094,2026-04-17,1,주택담보대출,0
C100095,2026-04-17,1,전세자금대출,53582091
C100096,2026-04-17,1,전세자금대출,102509919
C100097,2026-04-17,1,신용대출,0
C100098,2026-04-17,1,전세자금대출,60624781
C100099,2026-04-17,1,신용대출,39968324
