고객ID,기준일자,주차,상품구분,수신잔액
C100001,2026-04-17,1,정기예금,8330569
C100002,2026-04-17,1,정기예금,47492405
C100003,2026-04-17,1,적금,35289452
C100004,2026-04-17,1,적금,60857075
C100005,2026-04-17,1,입출금예금,41301464
C100006,2026-04-17,1,적금,2435344
C100007,2026-04-17,1,적금,68663987
C100008,2026-04-17,1,입출금예금,3340459
C100009,2026-04-17,1,적금,57633802
C100010,2026-04-17,1,입출금예금,9916345
C100011,2026-04-17,1,적금,68703643
C100012,2026-04-17,1,정기예금,65710846
C100013,2026-04-17,1,적금,26528023
C100014,2026-04-17,1,입출금예금,66506375
C100015,2026-04-17,1,정기예금,72774786
C100016,2026-04-17,1,적금,39728996
C100017,2026-04-17,1,입출금예금,4938409
C100018,2026-04-17,1,정기예금,74069945
C100019,2026-04-17,1,적금,68560587
C100020,2026-04-17,1,정기예금,38758949
C100021,2026-04-17,1,정기예금,36870041
C100022,2026-04-17,1,정기예금,90000000
C100023,2026-04-17,1,입출금예금,25395104
C100024,2026-04-17,1,정기예금,43112310
C100025,2026-04-17,1,입출금예금,6494688
C100026,2026-04-17,1,정기예금,62310283
C100027,2026-04-17,1,입출금예금,1833056
C100028,2026-04-17,1,정기예금,26391165
C100029,2026-04-17,1,정기예금,40620915
C100030,2026-04-17,1,정기예금,4527280
C100031,2026-04-17,1,적금,60209562
C100032,2026-04-17,1,적금,40939861
C100033,2026-04-17,1,적금,65841455
C100034,2026-04-17,1,적금,12914517
C100035,2026-04-17,1,입출금예금,55776306
C100036,2026-04-17,1,적금,58564214
C100037,2026-04-17,1,입출금예금,12014310
C100038,2026-04-17,1,정기예금,43482128
C100039,2026-04-17,1,적금,0
C100040,2026-04-17,1,적금,52605054
C100041,2026-04-17,1,입출금예금,60228974
C100042,2026-04-17,1,입출금예금,48108957
C100043,2026-04-17,1,적금,0
C100044,2026-04-17,1,정기예금,5592561
C100045,2026-04-17,1,적금,0
C100046,2026-04-17,1,적금,28152376
C100047,2026-04-17,1,적금,59307365
C100048,2026-04-17,1,입출금예금,52769712
C100049,2026-04-17,1,적금,50548159
C100050,2026-04-17,1,입출금예금,54228553
C100051,2026-04-17,1,적금,54329277
C100052,2026-04-17,1,정기예금,44051617
C100053,2026-04-17,1,입출금예금,24477682
C100054,2026-04-17,1,적금,69298852
C100055,2026-04-17,1,정기예금,34088007
C100056,2026-04-17,1,적금,24029341
C100057,2026-04-17,1,적금,46529554
C100058,2026-04-17,1,정기예금,40669768
C100059,2026-04-17,1,입출금예금,48103510
C100060,2026-04-17,1,정기예금,71995457
C100061,2026-04-17,1,정기예금,77575698
C100062,2026-04-17,1,적금,29817400
C100063,2026-04-17,1,적금,4776842
C100064,2026-04-17,1,적금,63301439
C100065,2026-04-17,1,입출금예금,49287850
C100066,2026-04-17,1,입출금예금,6881553
C100067,2026-04-17,1,정기예금,64852447
C100068,2026-04-17,1,정기예금,18553895
C100069,2026-04-17,1,적금,8503912
C100070,2026-04-17,1,적금,16049969
C100071,2026-04-17,1,입출금예금,34462087
C100072,2026-04-17,1,입출금예금,37129920
C100073,2026-04-17,1,적금,23724643
C100074,2026-04-17,1,정기예금,59584269
C100075,2026-04-17,1,입출금예금,66872178
C100076,2026-04-17,1,적금,62998136
C100077,2026-04-17,1,적금,38767468
C100078,2026-04-17,1,정기예금,54950708
C100079,2026-04-17,1,적금,25665151
C100080,2026-04-17,1,입출금예금,55504701
C100081,2026-04-17,1,입출금예금,18671394
C100082,2026-04-17,1,정기예금,39538565
C100083,2026-04-17,1,입출금예금,23120437
C100084,2026-04-17,1,적금,39285416
C100085,2026-04-17,1,적금,34935806
C100086,2026-04-17,1,입출금예금,56166617
C100087,2026-04-17,1,입출금예금,63293950
C100088,2026-04-17,1,입출금예금,28628796
C100089,2026-04-17,1,정기예금,61346637
C100090,2026-04-17,1,정기예금,60573996
C100091,2026-04-17,1,적금,0
C100092,2026-04-17,1,적금,48427568
C100093,2026-04-17,1,정기예금,12963961
C100094,2026-04-17,1,정기예금,28886893
C100095,2026-04-17,1,입출금예금,39875044
C100096,2026-04-17,1,정기예금,41130328
C100097,2026-04-17,1,입출금예금,22596422
C100098,2026-04-17,1,적금,19360431
C100099,2026-04-17,1,입출금예금,56602324
C100100,2026-04-17,1,입출금예금,70821307
C100101,2026-04-17,1,적금,40638657
C100102,2026-04-17,1,정기예금,49910911
C100103,2026-04-17,1,입출금예금,63688921
C100104,2026-04-17,1,적금,67095969
C100105,2026-04-17,1,입출금예금,41248113
C100106,2026-04-17,1,입출금예금,25067181
C100107,2026-04-17,1,입출금예금,60925520
C100108,2026-04-17,1,적금,4102560
C100109,2026-04-17,1,입출금예금,60077493
C100110,2026-04-17,1,입출금예금,25507271
C100111,2026-04-17,1,정기예금,37390205
C100112,2026-04-17,1,정기예금,32637985
C100113,2026-04-17,1,정기예금,22503970
C100114,2026-04-17,1,입출금예금,11123862
C100115,2026-04-17,1,적금,67168191
C100116,2026-04-17,1,입출금예금,37718199
C100117,2026-04-17,1,입출금예금,68381594
C100118,2026-04-17,1,정기예금,54129877
C100119,2026-04-17,1,입출금예금,39710970
C100120,2026-04-17,1,적금,43352541
C100121,2026-04-17,1,입출금예금,65458347
C100122,2026-04-17,1,입출금예금,69219445
C100123,2026-04-17,1,입출금예금,27213167
C100124,2026-04-17,1,입출금예금,30295028
C100125,2026-04-17,1,적금,24888339
C100126,2026-04-17,1,입출금예금,0
C100127,2026-04-17,1,입출금예금,76055187
C100128,2026-04-17,1,적금,41660036
C100129,2026-04-17,1,적금,47376433
C100130,2026-04-17,1,적금,47843837
C100131,2026-04-17,1,적금,37047965
C100132,2026-04-17,1,정기예금,71669488
C100133,2026-04-17,1,적금,72453454
C100134,2026-04-17,1,적금,29097323
C100135,2026-04-17,1,정기예금,22086911
C100136,2026-04-17,1,입출금예금,61450286
C100137,2026-04-17,1,정기예금,21678197
C100138,2026-04-17,1,적금,75596300
C100139,2026-04-17,1,정기예금,75692341
C100140,2026-04-17,1,입출금예금,40439156
C100141,2026-04-17,1,입출금예금,22932580
C100142,2026-04-17,1,입출금예금,42989874
C100143,2026-04-17,1,정기예금,35252051
C100144,2026-04-17,1,적금,8530915
C100145,2026-04-17,1,적금,41579415
C100146,2026-04-17,1,적금,30981715
C100147,2026-04-17,1,정기예금,0
C100148,2026-04-17,1,적금,39018116
C100149,2026-04-17,1,입출금예금,6490981
C100150,2026-04-17,1,입출금예금,74029237
C100151,2026-04-17,1,입출금예금,47569245
C100152,2026-04-17,1,적금,62780609
C100153,2026-04-17,1,입출금예금,69240036
C100154,2026-04-17,1,정기예금,33720484
C100155,2026-04-17,1,입출금예금,23422818
C100156,2026-04-17,1,적금,0
C100157,2026-04-17,1,적금,26076846
C100158,2026-04-17,1,입출금예금,5980860
C100159,2026-04-17,1,정기예금,10296930
C100160,2026-04-17,1,입출금예금,62894012
C100161,2026-04-17,1,입출금예금,43306969
C100162,2026-04-17,1,입출금예금,8340080
C100163,2026-04-17,1,정기예금,33974259
C100164,2026-04-17,1,적금,8670911
C100165,2026-04-17,1,적금,0
C100166,2026-04-17,1,정기예금,54824854
C100167,2026-04-17,1,적금,55028764
C100168,2026-04-17,1,입출금예금,77941095
C100169,2026-04-17,1,입출금예금,4039775
C100170,2026-04-17,1,입출금예금,29544293
C100171,2026-04-17,1,적금,49782418
C100172,2026-04-17,1,정기예금,32821335
C100173,2026-04-17,1,입출금예금,40100339
C100174,2026-04-17,1,입출금예금,42014264
C100175,2026-04-17,1,정기예금,21139754
C100176,2026-04-17,1,입출금예금,71104709
C100177,2026-04-17,1,정기예금,17640432
C100178,2026-04-17,1,입출금예금,73384427
C100179,2026-04-17,1,정기예금,2355120
C100180,2026-04-17,1,입출금예금,44232671
C100181,2026-04-17,1,적금,27635088
C100182,2026-04-17,1,적금,27189974
C100183,2026-04-17,1,정기예금,35235999
C100184,2026-04-17,1,적금,13916717
C100185,2026-04-17,1,입출금예금,30540689
C100186,2026-04-17,1,적금,4104846
C100187,2026-04-17,1,정기예금,9274146
C100188,2026-04-17,1,적금,72472374
C100189,2026-04-17,1,정기예금,13810279
C100190,2026-04-17,1,적금,70908600
C100191,2026-04-17,1,적금,69690237
C100192,2026-04-17,1,입출금예금,560749
