고객ID,기준일자,주차,상품구분,여신잔액
C100001,2026-06-26,11,신용대출,0
C100002,2026-06-26,11,신용대출,0
C100003,2026-06-26,11,주택담보대출,51017856
C100004,2026-06-26,11,주택담보대출,36083284
C100005,2026-06-26,11,신용대출,5917507
C100006,2026-06-26,11,전세자금대출,25286052
C100007,2026-06-26,11,전세자금대출,0
C100008,2026-06-26,11,신용대출,100168506
C100009,2026-06-26,11,주택담보대출,0
C100010,2026-06-26,11,주택담보대출,113180515
C100011,2026-06-26,11,신용대출,0
C100012,2026-06-26,11,신용대출,0
C100013,2026-06-26,11,신용대출,0
C100014,2026-06-26,11,전세자금대출,73513071
C100015,2026-06-26,11,신용대출,104809432
C100016,2026-06-26,11,주택담보대출,79919108
C100017,2026-06-26,11,주택담보대출,44344075
C100018,2026-06-26,11,주택담보대출,76949198
C100019,2026-06-26,11,전세자금대출,0
C100020,2026-06-26,11,전세자금대출,0
C100021,2026-06-26,11,신용대출,19462173
C100022,2026-06-26,11,전세자금대출,11585199
C100023,2026-06-26,11,전세자금대출,9238574
C100024,2026-06-26,11,신용대출,36104507
C100025,2026-06-26,11,신용대출,81734555
C100026,2026-06-26,11,신용대출,11032563
C100027,2026-06-26,11,전세자금대출,98490601
C100028,2026-06-26,11,전세자금대출,95143393
C100029,2026-06-26,11,전세자금대출,115342195
C100030,2026-06-26,11,전세자금대출,0
C100031,2026-06-26,11,신용대출,0
C100032,2026-06-26,11,전세자금대출,923000000
C100033,2026-06-26,11,주택담보대출,0
C100034,2026-06-26,11,전세자금대출,0
C100035,2026-06-26,11,주택담보대출,102470978
C100036,2026-06-26,11,주택담보대출,70470672
C100037,2026-06-26,11,전세자금대출,71685638
C100038,2026-06-26,11,전세자금대출,0
C100039,2026-06-26,11,주택담보대출,27532700
C100040,2026-06-26,11,신용대출,0
C100041,2026-06-26,11,신용대출,70000000
C100042,2026-06-26,11,신용대출,101824311
C100043,2026-06-26,11,신용대출,77602330
C100044,2026-06-26,11,신용대출,5261089
C100045,2026-06-26,11,신용대출,0
C100046,2026-06-26,11,신용대출,0
C100047,2026-06-26,11,전세자금대출,62304920
C100048,2026-06-26,11,주택담보대출,53509444
C100049,2026-06-26,11,신용대출,0
C100050,2026-06-26,11,신용대출,70000000
C100051,2026-06-26,11,신용대출,0
C100052,2026-06-26,11,주택담보대출,0
C100053,2026-06-26,11,신용대출,112192402
C100054,2026-06-26,11,주택담보대출,44407924
C100055,2026-06-26,11,전세자금대출,101469398
C100056,2026-06-26,11,전세자금대출,0
C100057,2026-06-26,11,전세자금대출,6365197
C100058,2026-06-26,11,주택담보대출,0
C100059,2026-06-26,11,주택담보대출,0
C100060,2026-06-26,11,주택담보대출,53725430
C100061,2026-06-26,11,신용대출,34777757
C100062,2026-06-26,11,신용대출,0
C100063,2026-06-26,11,주택담보대출,22020729
C100064,2026-06-26,11,주택담보대출,11269018
C100065,2026-06-26,11,주택담보대출,0
C100066,2026-06-26,11,신용대출,0
C100067,2026-06-26,11,신용대출,90000000
C100068,2026-06-26,11,신용대출,0
C100069,2026-06-26,11,주택담보대출,106704151
C100070,2026-06-26,11,주택담보대출,105576429
C100071,2026-06-26,11,전세자금대출,39195771
C100072,2026-06-26,11,전세자금대출,105667323
C100073,2026-06-26,11,전세자금대출,0
C100074,2026-06-26,11,전세자금대출,24401248
C100075,2026-06-26,11,전세자금대출,0
C100076,2026-06-26,11,신용대출,63785852
C100077,2026-06-26,11,주택담보대출,7029626
C100078,2026-06-26,11,전세자금대출,61754179
C100079,2026-06-26,11,신용대출,0
C100080,2026-06-26,11,주택담보대출,29596333
C100081,2026-06-26,11,주택담보대출,21895476
C100082,2026-06-26,11,신용대출,11949217
C100083,2026-06-26,11,전세자금대출,57218866
C100084,2026-06-26,11,전세자금대출,44290648
C100085,2026-06-26,11,주택담보대출,31264209
C100086,2026-06-26,11,신용대출,0
C100087,2026-06-26,11,주택담보대출,86792241
C100088,2026-06-26,11,주택담보대출,66750904
C100089,2026-06-26,11,신용대출,17186498
C100090,2026-06-26,11,주택담보대출,65605473
C100091,2026-06-26,11,전세자금대출,8928976
C100092,2026-06-26,11,신용대출,100881466
C100093,2026-06-26,11,주택담보대출,73976536
C100094,2026-06-26,11,주택담보대출,0
C100095,2026-06-26,11,전세자금대출,48325515
C100096,2026-06-26,11,전세자금대출,108212359
C100097,2026-06-26,11,신용대출,0
C100098,2026-06-26,11,전세자금대출,67333406
C100099,2026-06-26,11,신용대출,44894697
C100100,2026-06-26,11,신용대출,0
C100101,2026-06-26,11,전세자금대출,113913509
C100102,2026-06-26,11,신용대출,109493156
C100103,2026-06-26,11,전세자금대출,85290516
C100104,2026-06-26,11,전세자금대출,0
C100105,2026-06-26,11,전세자금대출,0
C100106,2026-06-26,11,신용대출,64365195
C100107,2026-06-26,11,주택담보대출,100182179
