고객ID,기준일자,주차,카드구분,사용금액,사용건수
C100001,2026-06-26,11,체크카드,2722479,54
C100002,2026-06-26,11,신용카드,519702,10
C100003,2026-06-26,11,체크카드,0,0
C100004,2026-06-26,11,체크카드,0,0
C100005,2026-06-26,11,체크카드,3539893,71
C100006,2026-06-26,11,신용카드,0,0
C100007,2026-06-26,11,체크카드,3424478,68
C100008,2026-06-26,11,체크카드,34000000,8
C100009,2026-06-26,11,체크카드,639281,13
C100010,2026-06-26,11,신용카드,639069,13
C100011,2026-06-26,11,신용카드,3550139,71
C100012,2026-06-26,11,체크카드,2545684,51
C100013,2026-06-26,11,신용카드,591524,12
C100014,2026-06-26,11,신용카드,0,0
C100015,2026-06-26,11,체크카드,2180185,44
C100016,2026-06-26,11,체크카드,281694,6
C100017,2026-06-26,11,체크카드,1036890,21
C100018,2026-06-26,11,신용카드,767264,15
C100019,2026-06-26,11,체크카드,2330090,47
C100020,2026-06-26,11,체크카드,2844253,57
C100021,2026-06-26,11,체크카드,1211320,24
C100022,2026-06-26,11,신용카드,3458827,69
C100023,2026-06-26,11,체크카드,0,0
C100024,2026-06-26,11,신용카드,1365700,27
C100025,2026-06-26,11,체크카드,2614086,52
C100026,2026-06-26,11,신용카드,838829,17
C100027,2026-06-26,11,신용카드,1212165,24
C100028,2026-06-26,11,신용카드,879439,18
C100029,2026-06-26,11,체크카드,1545214,31
C100030,2026-06-26,11,체크카드,0,0
C100031,2026-06-26,11,신용카드,2786059,56
C100032,2026-06-26,11,체크카드,2056547,41
C100033,2026-06-26,11,체크카드,39000000,0
C100034,2026-06-26,11,체크카드,2832313,57
C100035,2026-06-26,11,체크카드,2925022,59
C100036,2026-06-26,11,신용카드,2454349,49
C100037,2026-06-26,11,체크카드,1120890,22
C100038,2026-06-26,11,신용카드,271058,5
C100039,2026-06-26,11,체크카드,4195929,84
C100040,2026-06-26,11,체크카드,2504119,50
C100041,2026-06-26,11,체크카드,0,0
C100042,2026-06-26,11,체크카드,2348510,47
C100043,2026-06-26,11,체크카드,450790,9
C100044,2026-06-26,11,체크카드,0,0
C100045,2026-06-26,11,체크카드,2283640,46
C100046,2026-06-26,11,신용카드,0,0
C100047,2026-06-26,11,신용카드,1255505,25
C100048,2026-06-26,11,신용카드,2894811,58
C100049,2026-06-26,11,체크카드,1581137,32
C100050,2026-06-26,11,신용카드,2832315,57
C100051,2026-06-26,11,체크카드,1495688,30
C100052,2026-06-26,11,신용카드,3085844,62
C100053,2026-06-26,11,신용카드,38000000,0
C100054,2026-06-26,11,체크카드,100706,2
C100055,2026-06-26,11,체크카드,187479,4
C100056,2026-06-26,11,체크카드,3082748,62
C100057,2026-06-26,11,체크카드,0,0
C100058,2026-06-26,11,신용카드,3396366,68
C100059,2026-06-26,11,체크카드,0,0
C100060,2026-06-26,11,체크카드,2863865,57
C100061,2026-06-26,11,신용카드,3724457,74
C100062,2026-06-26,11,체크카드,605512,12
C100063,2026-06-26,11,체크카드,1081938,22
C100064,2026-06-26,11,체크카드,3089348,62
C100065,2026-06-26,11,체크카드,3093033,62
C100066,2026-06-26,11,체크카드,1306755,26
C100067,2026-06-26,11,신용카드,3424391,68
C100068,2026-06-26,11,체크카드,3319770,66
C100069,2026-06-26,11,신용카드,3433593,69
C100070,2026-06-26,11,체크카드,929880,19
C100071,2026-06-26,11,신용카드,329624,7
C100072,2026-06-26,11,체크카드,3430421,69
C100073,2026-06-26,11,신용카드,905295,18
C100074,2026-06-26,11,신용카드,3538917,71
C100075,2026-06-26,11,신용카드,2763676,55
C100076,2026-06-26,11,체크카드,3201763,64
C100077,2026-06-26,11,체크카드,1719513,34
C100078,2026-06-26,11,체크카드,1768168,35
C100079,2026-06-26,11,체크카드,0,0
C100080,2026-06-26,11,신용카드,2173313,43
C100081,2026-06-26,11,신용카드,1379383,28
C100082,2026-06-26,11,신용카드,418903,8
