고객ID,기준일자,주차,상품구분,수신잔액
C100001,2026-05-08,4,정기예금,8343073
C100002,2026-05-08,4,정기예금,48810726
C100003,2026-05-08,4,적금,36511608
C100004,2026-05-08,4,적금,59878058
C100005,2026-05-08,4,입출금예금,39399322
C100006,2026-05-08,4,적금,2582964
C100007,2026-05-08,4,적금,62945047
C100008,2026-05-08,4,입출금예금,3532298
C100009,2026-05-08,4,적금,57388802
C100010,2026-05-08,4,입출금예금,10102220
C100011,2026-05-08,4,적금,69389003
C100012,2026-05-08,4,정기예금,64842036
C100013,2026-05-08,4,적금,27702280
C100014,2026-05-08,4,입출금예금,69987972
C100015,2026-05-08,4,정기예금,76442482
C100016,2026-05-08,4,적금,36299950
C100017,2026-05-08,4,입출금예금,4811732
C100018,2026-05-08,4,정기예금,81559818
C100019,2026-05-08,4,적금,71283826
C100020,2026-05-08,4,정기예금,39416099
C100021,2026-05-08,4,정기예금,35804250
C100022,2026-05-08,4,정기예금,77163749
C100023,2026-05-08,4,입출금예금,25003083
C100024,2026-05-08,4,정기예금,41480826
C100025,2026-05-08,4,입출금예금,6812395
C100026,2026-05-08,4,정기예금,61952563
C100027,2026-05-08,4,입출금예금,2000940
C100028,2026-05-08,4,정기예금,28054207
C100029,2026-05-08,4,정기예금,40062955
C100030,2026-05-08,4,정기예금,4462747
C100031,2026-05-08,4,적금,63139699
C100032,2026-05-08,4,적금,44794846
C100033,2026-05-08,4,적금,69050972
C100034,2026-05-08,4,적금,12296630
C100035,2026-05-08,4,입출금예금,55197251
C100036,2026-05-08,4,적금,63437930
C100037,2026-05-08,4,입출금예금,11834238
C100038,2026-05-08,4,정기예금,44834031
C100039,2026-05-08,4,적금,0
C100040,2026-05-08,4,적금,57013976
C100041,2026-05-08,4,입출금예금,61226275
C100042,2026-05-08,4,입출금예금,47863667
C100043,2026-05-08,4,적금,0
C100044,2026-05-08,4,정기예금,5505161
C100045,2026-05-08,4,적금,0
C100046,2026-05-08,4,적금,29324371
C100047,2026-05-08,4,적금,58598276
C100048,2026-05-08,4,입출금예금,56916084
C100049,2026-05-08,4,적금,49693545
C100050,2026-05-08,4,입출금예금,56754896
C100051,2026-05-08,4,적금,58434028
C100052,2026-05-08,4,정기예금,43899423
C100053,2026-05-08,4,입출금예금,22936345
C100054,2026-05-08,4,적금,72020249
C100055,2026-05-08,4,정기예금,32711940
C100056,2026-05-08,4,적금,24287657
C100057,2026-05-08,4,적금,47870375
C100058,2026-05-08,4,정기예금,39475015
C100059,2026-05-08,4,입출금예금,48340420
C100060,2026-05-08,4,정기예금,68373562
C100061,2026-05-08,4,정기예금,73274017
C100062,2026-05-08,4,적금,27476214
C100063,2026-05-08,4,적금,4469688
C100064,2026-05-08,4,적금,63690616
C100065,2026-05-08,4,입출금예금,49053739
C100066,2026-05-08,4,입출금예금,6452042
C100067,2026-05-08,4,정기예금,63629443
C100068,2026-05-08,4,정기예금,18374149
C100069,2026-05-08,4,적금,8301436
C100070,2026-05-08,4,적금,16282561
C100071,2026-05-08,4,입출금예금,34341897
C100072,2026-05-08,4,입출금예금,38846937
C100073,2026-05-08,4,적금,23638860
C100074,2026-05-08,4,정기예금,64770714
C100075,2026-05-08,4,입출금예금,67968047
C100076,2026-05-08,4,적금,61736098
C100077,2026-05-08,4,적금,37330403
C100078,2026-05-08,4,정기예금,52342562
C100079,2026-05-08,4,적금,25251600
C100080,2026-05-08,4,입출금예금,57765084
C100081,2026-05-08,4,입출금예금,19794570
C100082,2026-05-08,4,정기예금,41480729
C100083,2026-05-08,4,입출금예금,23837235
C100084,2026-05-08,4,적금,38311159
C100085,2026-05-08,4,적금,32048858
C100086,2026-05-08,4,입출금예금,54669894
C100087,2026-05-08,4,입출금예금,57498122
C100088,2026-05-08,4,입출금예금,27408084
C100089,2026-05-08,4,정기예금,59190334
C100090,2026-05-08,4,정기예금,60897666
C100091,2026-05-08,4,적금,0
C100092,2026-05-08,4,적금,51798839
C100093,2026-05-08,4,정기예금,12972469
C100094,2026-05-08,4,정기예금,27909033
C100095,2026-05-08,4,입출금예금,39604264
C100096,2026-05-08,4,정기예금,40558138
C100097,2026-05-08,4,입출금예금,23317712
C100098,2026-05-08,4,적금,19087003
C100099,2026-05-08,4,입출금예금,59668144
C100100,2026-05-08,4,입출금예금,73029274
C100101,2026-05-08,4,적금,39216393
C100102,2026-05-08,4,정기예금,51093016
C100103,2026-05-08,4,입출금예금,63393830
C100104,2026-05-08,4,적금,67678511
C100105,2026-05-08,4,입출금예금,40322296
C100106,2026-05-08,4,입출금예금,23334175
C100107,2026-05-08,4,입출금예금,69018405
C100108,2026-05-08,4,적금,4043059
C100109,2026-05-08,4,입출금예금,62300619
C100110,2026-05-08,4,입출금예금,25151909
C100111,2026-05-08,4,정기예금,37540623
C100112,2026-05-08,4,정기예금,30065239
C100113,2026-05-08,4,정기예금,22959389
C100114,2026-05-08,4,입출금예금,11555901
C100115,2026-05-08,4,적금,64961156
C100116,2026-05-08,4,입출금예금,38233236
C100117,2026-05-08,4,입출금예금,65454784
C100118,2026-05-08,4,정기예금,49573900
C100119,2026-05-08,4,입출금예금,42035275
C100120,2026-05-08,4,적금,44153633
C100121,2026-05-08,4,입출금예금,62874194
C100122,2026-05-08,4,입출금예금,70912718
C100123,2026-05-08,4,입출금예금,28025866
C100124,2026-05-08,4,입출금예금,32334288
C100125,2026-05-08,4,적금,24016007
C100126,2026-05-08,4,입출금예금,0
C100127,2026-05-08,4,입출금예금,74748585
C100128,2026-05-08,4,적금,40026954
C100129,2026-05-08,4,적금,50047147
C100130,2026-05-08,4,적금,47371442
C100131,2026-05-08,4,적금,34664130
C100132,2026-05-08,4,정기예금,70565195
C100133,2026-05-08,4,적금,71201894
C100134,2026-05-08,4,적금,28262326
C100135,2026-05-08,4,정기예금,22901241
C100136,2026-05-08,4,입출금예금,66539918
C100137,2026-05-08,4,정기예금,21530346
C100138,2026-05-08,4,적금,76617721
C100139,2026-05-08,4,정기예금,76788148
C100140,2026-05-08,4,입출금예금,40649196
C100141,2026-05-08,4,입출금예금,24192047
C100142,2026-05-08,4,입출금예금,46276675
C100143,2026-05-08,4,정기예금,35478350
C100144,2026-05-08,4,적금,8835189
C100145,2026-05-08,4,적금,37943440
C100146,2026-05-08,4,적금,30170738
C100147,2026-05-08,4,정기예금,0
C100148,2026-05-08,4,적금,40585716
C100149,2026-05-08,4,입출금예금,6218704
C100150,2026-05-08,4,입출금예금,76247365
C100151,2026-05-08,4,입출금예금,51271451
C100152,2026-05-08,4,적금,57121782
C100153,2026-05-08,4,입출금예금,67244107
C100154,2026-05-08,4,정기예금,32915348
C100155,2026-05-08,4,입출금예금,22676880
C100156,2026-05-08,4,적금,0
C100157,2026-05-08,4,적금,24983840
C100158,2026-05-08,4,입출금예금,5953825
C100159,2026-05-08,4,정기예금,10309745
C100160,2026-05-08,4,입출금예금,61499291
C100161,2026-05-08,4,입출금예금,41412404
C100162,2026-05-08,4,입출금예금,8419753
C100163,2026-05-08,4,정기예금,34352041
C100164,2026-05-08,4,적금,8740590
C100165,2026-05-08,4,적금,0
C100166,2026-05-08,4,정기예금,57809927
C100167,2026-05-08,4,적금,60136597
C100168,2026-05-08,4,입출금예금,79326026
C100169,2026-05-08,4,입출금예금,3714798
C100170,2026-05-08,4,입출금예금,31787383
C100171,2026-05-08,4,적금,49150415
C100172,2026-05-08,4,정기예금,33536558
C100173,2026-05-08,4,입출금예금,41560609
C100174,2026-05-08,4,입출금예금,40730213
C100175,2026-05-08,4,정기예금,20651847
C100176,2026-05-08,4,입출금예금,73932150
C100177,2026-05-08,4,정기예금,18099046
C100178,2026-05-08,4,입출금예금,68905502
C100179,2026-05-08,4,정기예금,2482184
C100180,2026-05-08,4,입출금예금,44152536
C100181,2026-05-08,4,적금,27986301
C100182,2026-05-08,4,적금,27483940
C100183,2026-05-08,4,정기예금,36012406
C100184,2026-05-08,4,적금,14954352
C100185,2026-05-08,4,입출금예금,32710697
C100186,2026-05-08,4,적금,4142742
C100187,2026-05-08,4,정기예금,9382438
C100188,2026-05-08,4,적금,77011111
C100189,2026-05-08,4,정기예금,13419010
C100190,2026-05-08,4,적금,73794269
C100191,2026-05-08,4,적금,74660223
C100192,2026-05-08,4,입출금예금,569223
C100193,2026-05-08,4,입출금예금,41570766
C100194,2026-05-08,4,정기예금,5334534
C100195,2026-05-08,4,적금,63378261
C100196,2026-05-08,4,정기예금,69075615
C100197,2026-05-08,4,적금,2948023
C100198,2026-05-08,4,적금,45991493
C100199,2026-05-08,4,적금,55321239
C100200,2026-05-08,4,정기예금,18211825
C100201,2026-05-08,4,입출금예금,77967921
C100202,2026-05-08,4,입출금예금,0
C100203,2026-05-08,4,정기예금,47027942
C100204,2026-05-08,4,정기예금,33143274
C100205,2026-05-08,4,입출금예금,10211378
C100206,2026-05-08,4,입출금예금,16738749
C100207,2026-05-08,4,입출금예금,64012813
C100208,2026-05-08,4,적금,1405588
C100209,2026-05-08,4,적금,63559723
C100210,2026-05-08,4,정기예금,67811693
C100211,2026-05-08,4,정기예금,31236822
C100212,2026-05-08,4,적금,59782641
C100213,2026-05-08,4,적금,14451059
C100214,2026-05-08,4,정기예금,72545693
C100215,2026-05-08,4,적금,73462529
C100216,2026-05-08,4,적금,71255213
C100217,2026-05-08,4,정기예금,23240690
C100218,2026-05-08,4,입출금예금,16238055
C100219,2026-05-08,4,입출금예금,36295956
C100220,2026-05-08,4,입출금예금,15275712
C100221,2026-05-08,4,입출금예금,49311199
C100222,2026-05-08,4,적금,38526419
C100223,2026-05-08,4,적금,77163749
C100224,2026-05-08,4,적금,21160222
C100225,2026-05-08,4,입출금예금,64108000
C100226,2026-05-08,4,적금,1852687
C100227,2026-05-08,4,정기예금,65180177
C100228,2026-05-08,4,입출금예금,41938345
C100229,2026-05-08,4,입출금예금,77163749
C100230,2026-05-08,4,정기예금,16116600
C100231,2026-05-08,4,입출금예금,72104365
C100232,2026-05-08,4,정기예금,3176551
C100233,2026-05-08,4,입출금예금,41112366
C100234,2026-05-08,4,적금,32041146
C100235,2026-05-08,4,입출금예금,13358881
C100236,2026-05-08,4,적금,70945751
C100237,2026-05-08,4,정기예금,16002470
C100238,2026-05-08,4,입출금예금,59537146
C100239,2026-05-08,4,적금,11650598
C100240,2026-05-08,4,적금,24963726
C100241,2026-05-08,4,적금,67981940
C100242,2026-05-08,4,적금,52464700
C100243,2026-05-08,4,정기예금,75532596
C100244,2026-05-08,4,입출금예금,21026698
C100245,2026-05-08,4,적금,35053859
C100246,2026-05-08,4,정기예금,4025560
C100247,2026-05-08,4,적금,76537357
C100248,2026-05-08,4,적금,35536280
C100249,2026-05-08,4,입출금예금,52025023
C100250,2026-05-08,4,입출금예금,61705896
C100251,2026-05-08,4,정기예금,58359720
C100252,2026-05-08,4,적금,61862758
C100253,2026-05-08,4,입출금예금,52953872
C100254,2026-05-08,4,적금,61938144
C100255,2026-05-08,4,적금,59887671
C100256,2026-05-08,4,정기예금,77163749
C100257,2026-05-08,4,정기예금,57843273
C100258,2026-05-08,4,적금,1324158
C100259,2026-05-08,4,정기예금,34988009
C100260,2026-05-08,4,정기예금,64863524
C100261,2026-05-08,4,정기예금,57547810
C100262,2026-05-08,4,정기예금,11089129
C100263,2026-05-08,4,입출금예금,70242553
C100264,2026-05-08,4,적금,66169830
C100265,2026-05-08,4,정기예금,57345118
C100266,2026-05-08,4,정기예금,10602456
C100267,2026-05-08,4,입출금예금,0
C100268,2026-05-08,4,적금,36070346
C100269,2026-05-08,4,입출금예금,53672879
C100270,2026-05-08,4,입출금예금,77387379
C100271,2026-05-08,4,정기예금,74077155
C100272,2026-05-08,4,입출금예금,37817834
C100273,2026-05-08,4,적금,0
C100274,2026-05-08,4,적금,58580433
C100275,2026-05-08,4,적금,45450903
C100276,2026-05-08,4,입출금예금,65247143
C100277,2026-05-08,4,정기예금,49500322
C100278,2026-05-08,4,적금,30279055
C100279,2026-05-08,4,적금,70665289
C100280,2026-05-08,4,적금,47746441
C100281,2026-05-08,4,정기예금,66971324
C100282,2026-05-08,4,정기예금,19066692
C100283,2026-05-08,4,적금,61141318
C100284,2026-05-08,4,입출금예금,17947653
C100285,2026-05-08,4,입출금예금,38995723
C100286,2026-05-08,4,입출금예금,7931420
C100287,2026-05-08,4,적금,1523733
C100288,2026-05-08,4,입출금예금,49643222
C100289,2026-05-08,4,정기예금,30794127
C100290,2026-05-08,4,입출금예금,76043186
C100291,2026-05-08,4,정기예금,9280343
C100292,2026-05-08,4,정기예금,57243317
C100293,2026-05-08,4,입출금예금,75996043
C100294,2026-05-08,4,입출금예금,37109055
C100295,2026-05-08,4,입출금예금,42596012
C100296,2026-05-08,4,입출금예금,21222036
C100297,2026-05-08,4,정기예금,27189392
C100298,2026-05-08,4,입출금예금,5718229
C100299,2026-05-08,4,입출금예금,11567917
C100300,2026-05-08,4,적금,62153018
C100301,2026-05-08,4,입출금예금,0
C100302,2026-05-08,4,정기예금,7309832
C100303,2026-05-08,4,적금,31241496
C100304,2026-05-08,4,입출금예금,48107481
C100305,2026-05-08,4,정기예금,35913767
C100306,2026-05-08,4,정기예금,79981844
C100307,2026-05-08,4,정기예금,60899550
C100308,2026-05-08,4,입출금예금,76894354
C100309,2026-05-08,4,적금,36592861
C100310,2026-05-08,4,입출금예금,33153764
C100311,2026-05-08,4,입출금예금,66312576
C100312,2026-05-08,4,적금,2448713
C100313,2026-05-08,4,정기예금,68843148
C100314,2026-05-08,4,입출금예금,37620436
C100315,2026-05-08,4,정기예금,55128071
C100316,2026-05-08,4,입출금예금,65795429
C100317,2026-05-08,4,정기예금,0
C100318,2026-05-08,4,정기예금,65963542
C100319,2026-05-08,4,정기예금,61481581
C100320,2026-05-08,4,입출금예금,8093751
C100321,2026-05-08,4,입출금예금,18250241
C100322,2026-05-08,4,입출금예금,43172723
C100323,2026-05-08,4,적금,74722283
C100324,2026-05-08,4,적금,40165258
C100325,2026-05-08,4,정기예금,50257095
C100326,2026-05-08,4,입출금예금,76309862
C100327,2026-05-08,4,정기예금,42372028
C100328,2026-05-08,4,적금,52831708
C100329,2026-05-08,4,입출금예금,58936476
C100330,2026-05-08,4,입출금예금,3409296
C100331,2026-05-08,4,입출금예금,6254822
C100332,2026-05-08,4,입출금예금,21898799
C100333,2026-05-08,4,정기예금,73099803
C100334,2026-05-08,4,적금,27370253
C100335,2026-05-08,4,정기예금,64567699
C100336,2026-05-08,4,적금,74907880
C100337,2026-05-08,4,정기예금,8169794
C100338,2026-05-08,4,적금,54193424
C100339,2026-05-08,4,입출금예금,48651801
C100340,2026-05-08,4,정기예금,10189826
C100341,2026-05-08,4,적금,898915
C100342,2026-05-08,4,정기예금,29495946
C100343,2026-05-08,4,적금,68392009
C100344,2026-05-08,4,입출금예금,62658677
C100345,2026-05-08,4,적금,54082460
C100346,2026-05-08,4,정기예금,43093213
C100347,2026-05-08,4,적금,26597833
