고객ID,기준일자,주차,상품구분,여신잔액
C100001,2026-05-29,7,신용대출,0
C100002,2026-05-29,7,신용대출,0
C100003,2026-05-29,7,주택담보대출,46357183
C100004,2026-05-29,7,주택담보대출,31090495
C100005,2026-05-29,7,신용대출,6009881
C100006,2026-05-29,7,전세자금대출,23172832
C100007,2026-05-29,7,전세자금대출,0
C100008,2026-05-29,7,신용대출,97928308
C100009,2026-05-29,7,주택담보대출,0
C100010,2026-05-29,7,주택담보대출,107236745
C100011,2026-05-29,7,신용대출,0
C100012,2026-05-29,7,신용대출,0
C100013,2026-05-29,7,신용대출,0
C100014,2026-05-29,7,전세자금대출,68411237
C100015,2026-05-29,7,신용대출,107952310
C100016,2026-05-29,7,주택담보대출,77886393
C100017,2026-05-29,7,주택담보대출,47627411
C100018,2026-05-29,7,주택담보대출,81461109
C100019,2026-05-29,7,전세자금대출,0
C100020,2026-05-29,7,전세자금대출,0
C100021,2026-05-29,7,신용대출,17864086
C100022,2026-05-29,7,전세자금대출,10538261
C100023,2026-05-29,7,전세자금대출,9425191
C100024,2026-05-29,7,신용대출,35107746
C100025,2026-05-29,7,신용대출,89304786
C100026,2026-05-29,7,신용대출,10459112
C100027,2026-05-29,7,전세자금대출,99095780
C100028,2026-05-29,7,전세자금대출,95366604
C100029,2026-05-29,7,전세자금대출,110253874
C100030,2026-05-29,7,전세자금대출,0
C100031,2026-05-29,7,신용대출,0
C100032,2026-05-29,7,전세자금대출,53735298
C100033,2026-05-29,7,주택담보대출,0
C100034,2026-05-29,7,전세자금대출,0
C100035,2026-05-29,7,주택담보대출,98846753
C100036,2026-05-29,7,주택담보대출,73963462
C100037,2026-05-29,7,전세자금대출,68047368
C100038,2026-05-29,7,전세자금대출,0
C100039,2026-05-29,7,주택담보대출,25969086
C100040,2026-05-29,7,신용대출,0
C100041,2026-05-29,7,신용대출,30953603
C100042,2026-05-29,7,신용대출,109086026
C100043,2026-05-29,7,신용대출,73325220
C100044,2026-05-29,7,신용대출,5127795
C100045,2026-05-29,7,신용대출,0
C100046,2026-05-29,7,신용대출,0
C100047,2026-05-29,7,전세자금대출,68290234
C100048,2026-05-29,7,주택담보대출,50651890
C100049,2026-05-29,7,신용대출,0
C100050,2026-05-29,7,신용대출,89370070
C100051,2026-05-29,7,신용대출,0
C100052,2026-05-29,7,주택담보대출,0
C100053,2026-05-29,7,신용대출,109579355
C100054,2026-05-29,7,주택담보대출,41224304
C100055,2026-05-29,7,전세자금대출,95247468
C100056,2026-05-29,7,전세자금대출,0
C100057,2026-05-29,7,전세자금대출,6133474
C100058,2026-05-29,7,주택담보대출,0
C100059,2026-05-29,7,주택담보대출,0
C100060,2026-05-29,7,주택담보대출,42555573
C100061,2026-05-29,7,신용대출,32691377
C100062,2026-05-29,7,신용대출,0
C100063,2026-05-29,7,주택담보대출,23140271
C100064,2026-05-29,7,주택담보대출,10946069
C100065,2026-05-29,7,주택담보대출,0
C100066,2026-05-29,7,신용대출,0
C100067,2026-05-29,7,신용대출,0
C100068,2026-05-29,7,신용대출,0
C100069,2026-05-29,7,주택담보대출,102357376
C100070,2026-05-29,7,주택담보대출,107397879
C100071,2026-05-29,7,전세자금대출,41287748
C100072,2026-05-29,7,전세자금대출,100097800
C100073,2026-05-29,7,전세자금대출,0
C100074,2026-05-29,7,전세자금대출,23745575
C100075,2026-05-29,7,전세자금대출,0
C100076,2026-05-29,7,신용대출,63570006
C100077,2026-05-29,7,주택담보대출,6317525
C100078,2026-05-29,7,전세자금대출,65408783
C100079,2026-05-29,7,신용대출,0
C100080,2026-05-29,7,주택담보대출,31221531
C100081,2026-05-29,7,주택담보대출,22925904
C100082,2026-05-29,7,신용대출,11608923
C100083,2026-05-29,7,전세자금대출,55017294
C100084,2026-05-29,7,전세자금대출,39799083
C100085,2026-05-29,7,주택담보대출,30521291
C100086,2026-05-29,7,신용대출,0
C100087,2026-05-29,7,주택담보대출,81931406
C100088,2026-05-29,7,주택담보대출,63362540
C100089,2026-05-29,7,신용대출,16113879
C100090,2026-05-29,7,주택담보대출,62114241
C100091,2026-05-29,7,전세자금대출,8644219
C100092,2026-05-29,7,신용대출,101289610
C100093,2026-05-29,7,주택담보대출,73053985
C100094,2026-05-29,7,주택담보대출,0
C100095,2026-05-29,7,전세자금대출,49183271
C100096,2026-05-29,7,전세자금대출,103139243
C100097,2026-05-29,7,신용대출,0
C100098,2026-05-29,7,전세자금대출,64324217
C100099,2026-05-29,7,신용대출,44964236
C100100,2026-05-29,7,신용대출,0
C100101,2026-05-29,7,전세자금대출,108020742
C100102,2026-05-29,7,신용대출,104506243
C100103,2026-05-29,7,전세자금대출,84997089
C100104,2026-05-29,7,전세자금대출,0
C100105,2026-05-29,7,전세자금대출,0
C100106,2026-05-29,7,신용대출,58980668
C100107,2026-05-29,7,주택담보대출,96707979
C100108,2026-05-29,7,신용대출,95307336
C100109,2026-05-29,7,주택담보대출,46029116
C100110,2026-05-29,7,주택담보대출,36232532
C100111,2026-05-29,7,전세자금대출,55285997
C100112,2026-05-29,7,신용대출,57147094
C100113,2026-05-29,7,신용대출,75427860
C100114,2026-05-29,7,주택담보대출,6982947
C100115,2026-05-29,7,신용대출,18210321
C100116,2026-05-29,7,주택담보대출,61248720
C100117,2026-05-29,7,전세자금대출,84619273
C100118,2026-05-29,7,신용대출,88407885
C100119,2026-05-29,7,전세자금대출,0
C100120,2026-05-29,7,신용대출,0
C100121,2026-05-29,7,주택담보대출,38465465
C100122,2026-05-29,7,신용대출,56787076
C100123,2026-05-29,7,전세자금대출,0
C100124,2026-05-29,7,신용대출,55095275
C100125,2026-05-29,7,주택담보대출,28920951
C100126,2026-05-29,7,신용대출,13776692
C100127,2026-05-29,7,신용대출,116040029
C100128,2026-05-29,7,신용대출,0
C100129,2026-05-29,7,신용대출,78164905
C100130,2026-05-29,7,전세자금대출,54904334
C100131,2026-05-29,7,신용대출,48851221
C100132,2026-05-29,7,주택담보대출,42951590
C100133,2026-05-29,7,신용대출,0
C100134,2026-05-29,7,주택담보대출,67909713
C100135,2026-05-29,7,주택담보대출,16339761
C100136,2026-05-29,7,주택담보대출,49983161
C100137,2026-05-29,7,전세자금대출,42555573
C100138,2026-05-29,7,전세자금대출,0
C100139,2026-05-29,7,신용대출,0
C100140,2026-05-29,7,전세자금대출,21884570
C100141,2026-05-29,7,주택담보대출,64914326
C100142,2026-05-29,7,주택담보대출,77765431
C100143,2026-05-29,7,전세자금대출,94589794
C100144,2026-05-29,7,전세자금대출,12498819
C100145,2026-05-29,7,주택담보대출,0
C100146,2026-05-29,7,주택담보대출,37226189
C100147,2026-05-29,7,주택담보대출,0
C100148,2026-05-29,7,주택담보대출,0
C100149,2026-05-29,7,전세자금대출,11592567
C100150,2026-05-29,7,전세자금대출,0
C100151,2026-05-29,7,신용대출,109077944
C100152,2026-05-29,7,주택담보대출,33582031
C100153,2026-05-29,7,신용대출,74651166
C100154,2026-05-29,7,전세자금대출,48098046
C100155,2026-05-29,7,신용대출,108599361
C100156,2026-05-29,7,신용대출,38429952
C100157,2026-05-29,7,전세자금대출,0
C100158,2026-05-29,7,주택담보대출,0
C100159,2026-05-29,7,신용대출,41808682
C100160,2026-05-29,7,신용대출,98055969
C100161,2026-05-29,7,전세자금대출,0
C100162,2026-05-29,7,전세자금대출,0
C100163,2026-05-29,7,신용대출,63110240
C100164,2026-05-29,7,신용대출,21739652
C100165,2026-05-29,7,전세자금대출,72317126
C100166,2026-05-29,7,전세자금대출,49033139
C100167,2026-05-29,7,신용대출,25169298
C100168,2026-05-29,7,주택담보대출,58792057
C100169,2026-05-29,7,주택담보대출,83212394
C100170,2026-05-29,7,전세자금대출,114934851
C100171,2026-05-29,7,신용대출,94389022
C100172,2026-05-29,7,주택담보대출,0
C100173,2026-05-29,7,전세자금대출,57631471
C100174,2026-05-29,7,전세자금대출,0
C100175,2026-05-29,7,주택담보대출,0
C100176,2026-05-29,7,신용대출,44499475
C100177,2026-05-29,7,신용대출,117146069
C100178,2026-05-29,7,신용대출,42519863
