고객ID,기준일자,주차,카드구분,사용금액,사용건수
C100001,2026-05-29,7,체크카드,2591136,52
C100002,2026-05-29,7,신용카드,579405,12
C100003,2026-05-29,7,체크카드,0,0
C100004,2026-05-29,7,체크카드,0,0
C100005,2026-05-29,7,체크카드,3204656,64
C100006,2026-05-29,7,신용카드,0,0
C100007,2026-05-29,7,체크카드,3764326,75
C100008,2026-05-29,7,체크카드,390643,8
C100009,2026-05-29,7,체크카드,669401,13
C100010,2026-05-29,7,신용카드,630761,13
C100011,2026-05-29,7,신용카드,3398515,68
C100012,2026-05-29,7,체크카드,2904923,58
C100013,2026-05-29,7,신용카드,575218,12
C100014,2026-05-29,7,신용카드,0,0
C100015,2026-05-29,7,체크카드,2183977,44
C100016,2026-05-29,7,체크카드,277056,6
C100017,2026-05-29,7,체크카드,1013863,20
C100018,2026-05-29,7,신용카드,787571,16
C100019,2026-05-29,7,체크카드,2464942,49
C100020,2026-05-29,7,체크카드,2916369,58
C100021,2026-05-29,7,체크카드,1098637,22
C100022,2026-05-29,7,신용카드,3073404,61
C100023,2026-05-29,7,체크카드,0,0
C100024,2026-05-29,7,신용카드,1457838,29
C100025,2026-05-29,7,체크카드,2874655,57
C100026,2026-05-29,7,신용카드,875308,18
C100027,2026-05-29,7,신용카드,1218152,24
C100028,2026-05-29,7,신용카드,911477,18
C100029,2026-05-29,7,체크카드,1415878,28
C100030,2026-05-29,7,체크카드,0,0
C100031,2026-05-29,7,신용카드,2579374,52
C100032,2026-05-29,7,체크카드,2045259,41
C100033,2026-05-29,7,체크카드,0,0
C100034,2026-05-29,7,체크카드,2904666,58
C100035,2026-05-29,7,체크카드,2844178,57
C100036,2026-05-29,7,신용카드,2426695,49
C100037,2026-05-29,7,체크카드,1032975,21
C100038,2026-05-29,7,신용카드,289595,6
C100039,2026-05-29,7,체크카드,3797661,76
C100040,2026-05-29,7,체크카드,2726549,55
C100041,2026-05-29,7,체크카드,0,0
C100042,2026-05-29,7,체크카드,2571625,51
C100043,2026-05-29,7,체크카드,434669,9
C100044,2026-05-29,7,체크카드,0,0
C100045,2026-05-29,7,체크카드,2404737,48
C100046,2026-05-29,7,신용카드,0,0
C100047,2026-05-29,7,신용카드,1495967,30
C100048,2026-05-29,7,신용카드,2984572,60
C100049,2026-05-29,7,체크카드,1575855,32
C100050,2026-05-29,7,신용카드,2767604,55
C100051,2026-05-29,7,체크카드,1444455,29
C100052,2026-05-29,7,신용카드,3008557,60
C100053,2026-05-29,7,신용카드,0,0
C100054,2026-05-29,7,체크카드,99989,2
C100055,2026-05-29,7,체크카드,182127,4
C100056,2026-05-29,7,체크카드,3331588,67
C100057,2026-05-29,7,체크카드,0,0
C100058,2026-05-29,7,신용카드,3171930,63
C100059,2026-05-29,7,체크카드,0,0
C100060,2026-05-29,7,체크카드,2719976,54
C100061,2026-05-29,7,신용카드,3741354,75
C100062,2026-05-29,7,체크카드,653499,13
C100063,2026-05-29,7,체크카드,1087824,22
C100064,2026-05-29,7,체크카드,2933583,59
C100065,2026-05-29,7,체크카드,2982197,60
C100066,2026-05-29,7,체크카드,1337989,27
C100067,2026-05-29,7,신용카드,3193912,64
C100068,2026-05-29,7,체크카드,3211019,64
C100069,2026-05-29,7,신용카드,3302870,66
C100070,2026-05-29,7,체크카드,919362,18
C100071,2026-05-29,7,신용카드,349885,7
C100072,2026-05-29,7,체크카드,3327477,67
C100073,2026-05-29,7,신용카드,885495,18
C100074,2026-05-29,7,신용카드,3629404,73
C100075,2026-05-29,7,신용카드,2704189,54
C100076,2026-05-29,7,체크카드,3242234,65
C100077,2026-05-29,7,체크카드,1529570,31
C100078,2026-05-29,7,체크카드,1776300,36
C100079,2026-05-29,7,체크카드,0,0
C100080,2026-05-29,7,신용카드,2205432,44
