고객ID,기준일자,주차,상품구분,수신잔액
C100001,2026-05-29,7,정기예금,7931959
C100002,2026-05-29,7,정기예금,50824182
C100003,2026-05-29,7,적금,36150540
C100004,2026-05-29,7,적금,52358138
C100005,2026-05-29,7,입출금예금,39989611
C100006,2026-05-29,7,적금,2483285
C100007,2026-05-29,7,적금,66808291
C100008,2026-05-29,7,입출금예금,3375342
C100009,2026-05-29,7,적금,58872471
C100010,2026-05-29,7,입출금예금,9817908
C100011,2026-05-29,7,적금,70064504
C100012,2026-05-29,7,정기예금,65686771
C100013,2026-05-29,7,적금,27252923
C100014,2026-05-29,7,입출금예금,74901024
C100015,2026-05-29,7,정기예금,76001767
C100016,2026-05-29,7,적금,38961934
C100017,2026-05-29,7,입출금예금,5235943
C100018,2026-05-29,7,정기예금,76452976
C100019,2026-05-29,7,적금,72871337
C100020,2026-05-29,7,정기예금,41427931
C100021,2026-05-29,7,정기예금,35461906
C100022,2026-05-29,7,정기예금,66158270
C100023,2026-05-29,7,입출금예금,25099478
C100024,2026-05-29,7,정기예금,42025529
C100025,2026-05-29,7,입출금예금,7171509
C100026,2026-05-29,7,정기예금,61610430
C100027,2026-05-29,7,입출금예금,2067723
C100028,2026-05-29,7,정기예금,25986719
C100029,2026-05-29,7,정기예금,40200647
C100030,2026-05-29,7,정기예금,4338720
C100031,2026-05-29,7,적금,67593857
C100032,2026-05-29,7,적금,47319789
C100033,2026-05-29,7,적금,69235675
C100034,2026-05-29,7,적금,13073606
C100035,2026-05-29,7,입출금예금,57316687
C100036,2026-05-29,7,적금,59543532
C100037,2026-05-29,7,입출금예금,12327766
C100038,2026-05-29,7,정기예금,47373406
C100039,2026-05-29,7,적금,0
C100040,2026-05-29,7,적금,57432431
C100041,2026-05-29,7,입출금예금,58552091
C100042,2026-05-29,7,입출금예금,52580392
C100043,2026-05-29,7,적금,0
C100044,2026-05-29,7,정기예금,5627180
C100045,2026-05-29,7,적금,0
C100046,2026-05-29,7,적금,27371660
C100047,2026-05-29,7,적금,62678401
C100048,2026-05-29,7,입출금예금,58361603
C100049,2026-05-29,7,적금,45720596
C100050,2026-05-29,7,입출금예금,54748714
C100051,2026-05-29,7,적금,63651136
C100052,2026-05-29,7,정기예금,43310620
C100053,2026-05-29,7,입출금예금,23918413
C100054,2026-05-29,7,적금,69985634
C100055,2026-05-29,7,정기예금,34477575
C100056,2026-05-29,7,적금,26620287
C100057,2026-05-29,7,적금,48129718
C100058,2026-05-29,7,정기예금,37921121
C100059,2026-05-29,7,입출금예금,51323935
C100060,2026-05-29,7,정기예금,70578015
C100061,2026-05-29,7,정기예금,75714777
C100062,2026-05-29,7,적금,29718127
C100063,2026-05-29,7,적금,4508720
C100064,2026-05-29,7,적금,63496086
C100065,2026-05-29,7,입출금예금,49635800
C100066,2026-05-29,7,입출금예금,6537863
C100067,2026-05-29,7,정기예금,64091945
C100068,2026-05-29,7,정기예금,18351657
C100069,2026-05-29,7,적금,8362416
C100070,2026-05-29,7,적금,15642585
C100071,2026-05-29,7,입출금예금,36519901
C100072,2026-05-29,7,입출금예금,39536155
C100073,2026-05-29,7,적금,23441618
C100074,2026-05-29,7,정기예금,66261214
C100075,2026-05-29,7,입출금예금,69635519
C100076,2026-05-29,7,적금,64342912
