고객ID,기준일자,주차,상품구분,수신잔액
C100001,2026-04-24,2,정기예금,8761337
C100002,2026-04-24,2,정기예금,45671087
C100003,2026-04-24,2,적금,34953141
C100004,2026-04-24,2,적금,58639764
C100005,2026-04-24,2,입출금예금,40625454
C100006,2026-04-24,2,적금,2624322
C100007,2026-04-24,2,적금,64949281
C100008,2026-04-24,2,입출금예금,3490861
C100009,2026-04-24,2,적금,57185805
C100010,2026-04-24,2,입출금예금,10042203
C100011,2026-04-24,2,적금,64356755
C100012,2026-04-24,2,정기예금,65591334
C100013,2026-04-24,2,적금,26764262
C100014,2026-04-24,2,입출금예금,67459841
C100015,2026-04-24,2,정기예금,69492637
C100016,2026-04-24,2,적금,41178550
C100017,2026-04-24,2,입출금예금,5147874
C100018,2026-04-24,2,정기예금,73421704
C100019,2026-04-24,2,적금,68034702
C100020,2026-04-24,2,정기예금,39528327
C100021,2026-04-24,2,정기예금,38609638
C100022,2026-04-24,2,정기예금,85500000
C100023,2026-04-24,2,입출금예금,24513184
C100024,2026-04-24,2,정기예금,45369183
C100025,2026-04-24,2,입출금예금,6374934
C100026,2026-04-24,2,정기예금,61804780
C100027,2026-04-24,2,입출금예금,1938170
C100028,2026-04-24,2,정기예금,25846615
C100029,2026-04-24,2,정기예금,42537984
C100030,2026-04-24,2,정기예금,4444294
C100031,2026-04-24,2,적금,64615376
C100032,2026-04-24,2,적금,42044401
C100033,2026-04-24,2,적금,65449966
C100034,2026-04-24,2,적금,12252141
C100035,2026-04-24,2,입출금예금,53923689
C100036,2026-04-24,2,적금,59412968
C100037,2026-04-24,2,입출금예금,12419955
C100038,2026-04-24,2,정기예금,43090676
C100039,2026-04-24,2,적금,0
C100040,2026-04-24,2,적금,56852698
C100041,2026-04-24,2,입출금예금,58734468
C100042,2026-04-24,2,입출금예금,49570844
C100043,2026-04-24,2,적금,0
C100044,2026-04-24,2,정기예금,5639751
C100045,2026-04-24,2,적금,0
C100046,2026-04-24,2,적금,29542690
C100047,2026-04-24,2,적금,59321303
C100048,2026-04-24,2,입출금예금,51294085
C100049,2026-04-24,2,적금,47828260
C100050,2026-04-24,2,입출금예금,56131545
C100051,2026-04-24,2,적금,54737208
C100052,2026-04-24,2,정기예금,43124020
C100053,2026-04-24,2,입출금예금,23542428
C100054,2026-04-24,2,적금,70326518
C100055,2026-04-24,2,정기예금,37628552
C100056,2026-04-24,2,적금,22229898
C100057,2026-04-24,2,적금,45375612
C100058,2026-04-24,2,정기예금,38921713
C100059,2026-04-24,2,입출금예금,50589093
C100060,2026-04-24,2,정기예금,72802917
C100061,2026-04-24,2,정기예금,77285380
C100062,2026-04-24,2,적금,30008438
C100063,2026-04-24,2,적금,4378137
C100064,2026-04-24,2,적금,60864815
C100065,2026-04-24,2,입출금예금,47972480
C100066,2026-04-24,2,입출금예금,6919045
C100067,2026-04-24,2,정기예금,64030598
C100068,2026-04-24,2,정기예금,17931623
C100069,2026-04-24,2,적금,8127854
C100070,2026-04-24,2,적금,15591844
C100071,2026-04-24,2,입출금예금,34656609
C100072,2026-04-24,2,입출금예금,37595322
C100073,2026-04-24,2,적금,25224117
C100074,2026-04-24,2,정기예금,65609990
C100075,2026-04-24,2,입출금예금,73299458
C100076,2026-04-24,2,적금,62847255
C100077,2026-04-24,2,적금,38290128
C100078,2026-04-24,2,정기예금,52617391
C100079,2026-04-24,2,적금,25725523
C100080,2026-04-24,2,입출금예금,57436762
C100081,2026-04-24,2,입출금예금,18667592
C100082,2026-04-24,2,정기예금,37938871
C100083,2026-04-24,2,입출금예금,22218921
C100084,2026-04-24,2,적금,37101285
C100085,2026-04-24,2,적금,34196138
