고객ID,기준일자,주차,상품구분,여신잔액
C100001,2026-04-24,2,신용대출,0
C100002,2026-04-24,2,신용대출,0
C100003,2026-04-24,2,주택담보대출,43724164
C100004,2026-04-24,2,주택담보대출,31706560
C100005,2026-04-24,2,신용대출,6210895
C100006,2026-04-24,2,전세자금대출,22962847
C100007,2026-04-24,2,전세자금대출,0
C100008,2026-04-24,2,신용대출,106586223
C100009,2026-04-24,2,주택담보대출,0
C100010,2026-04-24,2,주택담보대출,102112678
C100011,2026-04-24,2,신용대출,0
C100012,2026-04-24,2,신용대출,0
C100013,2026-04-24,2,신용대출,0
C100014,2026-04-24,2,전세자금대출,61068943
C100015,2026-04-24,2,신용대출,99100909
C100016,2026-04-24,2,주택담보대출,79054860
C100017,2026-04-24,2,주택담보대출,48329636
C100018,2026-04-24,2,주택담보대출,83108669
C100019,2026-04-24,2,전세자금대출,0
C100020,2026-04-24,2,전세자금대출,0
C100021,2026-04-24,2,신용대출,18893277
C100022,2026-04-24,2,전세자금대출,11288755
C100023,2026-04-24,2,전세자금대출,8799744
C100024,2026-04-24,2,신용대출,35294827
C100025,2026-04-24,2,신용대출,85936803
C100026,2026-04-24,2,신용대출,9830758
C100027,2026-04-24,2,전세자금대출,96947100
C100028,2026-04-24,2,전세자금대출,95663880
C100029,2026-04-24,2,전세자금대출,114592913
C100030,2026-04-24,2,전세자금대출,0
C100031,2026-04-24,2,신용대출,0
C100032,2026-04-24,2,전세자금대출,48583047
C100033,2026-04-24,2,주택담보대출,0
C100034,2026-04-24,2,전세자금대출,0
C100035,2026-04-24,2,주택담보대출,93227215
C100036,2026-04-24,2,주택담보대출,81597129
C100037,2026-04-24,2,전세자금대출,64127527
C100038,2026-04-24,2,전세자금대출,0
C100039,2026-04-24,2,주택담보대출,24666322
C100040,2026-04-24,2,신용대출,0
C100041,2026-04-24,2,신용대출,33074979
C100042,2026-04-24,2,신용대출,113991963
C100043,2026-04-24,2,신용대출,73224523
C100044,2026-04-24,2,신용대출,4974301
C100045,2026-04-24,2,신용대출,0
C100046,2026-04-24,2,신용대출,0
C100047,2026-04-24,2,전세자금대출,64310656
C100048,2026-04-24,2,주택담보대출,46298325
C100049,2026-04-24,2,신용대출,0
C100050,2026-04-24,2,신용대출,95551280
C100051,2026-04-24,2,신용대출,0
C100052,2026-04-24,2,주택담보대출,0
C100053,2026-04-24,2,신용대출,102882265
C100054,2026-04-24,2,주택담보대출,41879272
C100055,2026-04-24,2,전세자금대출,102463801
C100056,2026-04-24,2,전세자금대출,0
C100057,2026-04-24,2,전세자금대출,5963939
C100058,2026-04-24,2,주택담보대출,0
C100059,2026-04-24,2,주택담보대출,0
C100060,2026-04-24,2,주택담보대출,31800000
C100061,2026-04-24,2,신용대출,30912523
