고객ID,기준일자,주차,카드구분,사용금액,사용건수
C100001,2026-05-01,3,체크카드,2745345,55
C100002,2026-05-01,3,신용카드,579001,12
C100003,2026-05-01,3,체크카드,0,0
C100004,2026-05-01,3,체크카드,0,0
C100005,2026-05-01,3,체크카드,3118542,62
C100006,2026-05-01,3,신용카드,0,0
C100007,2026-05-01,3,체크카드,3798082,76
C100008,2026-05-01,3,체크카드,402442,8
C100009,2026-05-01,3,체크카드,743520,15
C100010,2026-05-01,3,신용카드,652420,13
C100011,2026-05-01,3,신용카드,3022950,60
C100012,2026-05-01,3,체크카드,3157149,63
C100013,2026-05-01,3,신용카드,632688,13
C100014,2026-05-01,3,신용카드,0,0
C100015,2026-05-01,3,체크카드,2044994,41
C100016,2026-05-01,3,체크카드,280984,6
C100017,2026-05-01,3,체크카드,854555,17
C100018,2026-05-01,3,신용카드,795126,16
C100019,2026-05-01,3,체크카드,2673377,53
C100020,2026-05-01,3,체크카드,2931993,59
C100021,2026-05-01,3,체크카드,1095547,22
C100022,2026-05-01,3,신용카드,2977358,60
C100023,2026-05-01,3,체크카드,0,0
C100024,2026-05-01,3,신용카드,1523578,30
C100025,2026-05-01,3,체크카드,2770455,55
C100026,2026-05-01,3,신용카드,970399,19
C100027,2026-05-01,3,신용카드,1196011,24
C100028,2026-05-01,3,신용카드,941196,19
C100029,2026-05-01,3,체크카드,1339789,27
C100030,2026-05-01,3,체크카드,0,0
C100031,2026-05-01,3,신용카드,2345712,47
C100032,2026-05-01,3,체크카드,1864334,37
C100033,2026-05-01,3,체크카드,0,0
C100034,2026-05-01,3,체크카드,2802174,56
C100035,2026-05-01,3,체크카드,2762218,55
C100036,2026-05-01,3,신용카드,2412387,48
C100037,2026-05-01,3,체크카드,905411,18
C100038,2026-05-01,3,신용카드,287956,6
C100039,2026-05-01,3,체크카드,3799575,76
C100040,2026-05-01,3,체크카드,2943916,59
C100041,2026-05-01,3,체크카드,0,0
C100042,2026-05-01,3,체크카드,2795095,56
C100043,2026-05-01,3,체크카드,485984,10
C100044,2026-05-01,3,체크카드,0,0
C100045,2026-05-01,3,체크카드,2597668,52
C100046,2026-05-01,3,신용카드,0,0
C100047,2026-05-01,3,신용카드,1529353,31
C100048,2026-05-01,3,신용카드,3095896,62
C100049,2026-05-01,3,체크카드,1778075,36
C100050,2026-05-01,3,신용카드,2636656,53
C100051,2026-05-01,3,체크카드,1286868,26
C100052,2026-05-01,3,신용카드,2792142,56
C100053,2026-05-01,3,신용카드,0,0
C100054,2026-05-01,3,체크카드,105924,2
C100055,2026-05-01,3,체크카드,202024,4
C100056,2026-05-01,3,체크카드,3425267,69
C100057,2026-05-01,3,체크카드,0,0
C100058,2026-05-01,3,신용카드,3206819,64
C100059,2026-05-01,3,체크카드,0,0
C100060,2026-05-01,3,체크카드,2602618,52
C100061,2026-05-01,3,신용카드,3571431,71
C100062,2026-05-01,3,체크카드,688892,14
C100063,2026-05-01,3,체크카드,1097866,22
C100064,2026-05-01,3,체크카드,2801657,56
C100065,2026-05-01,3,체크카드,2834211,57
C100066,2026-05-01,3,체크카드,1356094,27
C100067,2026-05-01,3,신용카드,3190220,64
C100068,2026-05-01,3,체크카드,2951490,59
C100069,2026-05-01,3,신용카드,3127498,63
C100070,2026-05-01,3,체크카드,848913,17
C100071,2026-05-01,3,신용카드,341734,7
C100072,2026-05-01,3,체크카드,3470882,69
C100073,2026-05-01,3,신용카드,983748,20
C100074,2026-05-01,3,신용카드,3466598,69
C100075,2026-05-01,3,신용카드,2743573,55
C100076,2026-05-01,3,체크카드,3153103,63
C100077,2026-05-01,3,체크카드,1387555,28
C100078,2026-05-01,3,체크카드,1730339,35
C100079,2026-05-01,3,체크카드,0,0
C100080,2026-05-01,3,신용카드,2087351,42
C100081,2026-05-01,3,신용카드,1415604,28
C100082,2026-05-01,3,신용카드,387951,8
C100083,2026-05-01,3,신용카드,968882,19
C100084,2026-05-01,3,신용카드,2042635,41
C100085,2026-05-01,3,체크카드,0,0
C100086,2026-05-01,3,체크카드,2024604,40
C100087,2026-05-01,3,신용카드,0,0
C100088,2026-05-01,3,신용카드,0,0
C100089,2026-05-01,3,체크카드,1274198,25
C100090,2026-05-01,3,신용카드,493313,10
C100091,2026-05-01,3,체크카드,4013232,80
C100092,2026-05-01,3,신용카드,3313563,66
C100093,2026-05-01,3,체크카드,678432,14
C100094,2026-05-01,3,신용카드,2345537,47
C100095,2026-05-01,3,체크카드,730409,15
C100096,2026-05-01,3,신용카드,1538968,31
C100097,2026-05-01,3,신용카드,3522596,70
C100098,2026-05-01,3,체크카드,1515959,30
C100099,2026-05-01,3,체크카드,387125,8
C100100,2026-05-01,3,체크카드,1629749,33
C100101,2026-05-01,3,체크카드,3130411,63
C100102,2026-05-01,3,신용카드,3248167,65
C100103,2026-05-01,3,체크카드,3319510,66
C100104,2026-05-01,3,신용카드,2984967,60
C100105,2026-05-01,3,체크카드,77505,2
C100106,2026-05-01,3,체크카드,70771,1
C100107,2026-05-01,3,체크카드,1283942,26
C100108,2026-05-01,3,체크카드,1734935,35
C100109,2026-05-01,3,신용카드,1883701,38
C100110,2026-05-01,3,체크카드,1328293,27
C100111,2026-05-01,3,신용카드,3623802,72
C100112,2026-05-01,3,신용카드,0,0
C100113,2026-05-01,3,신용카드,2635891,53
C100114,2026-05-01,3,체크카드,3427421,69
C100115,2026-05-01,3,체크카드,3838633,77
C100116,2026-05-01,3,신용카드,1209327,24
C100117,2026-05-01,3,신용카드,164190,3
C100118,2026-05-01,3,신용카드,481710,10
C100119,2026-05-01,3,신용카드,762405,15
C100120,2026-05-01,3,체크카드,110341,2
C100121,2026-05-01,3,체크카드,813787,16
C100122,2026-05-01,3,신용카드,407624,8
C100123,2026-05-01,3,체크카드,0,0
C100124,2026-05-01,3,체크카드,955987,19
C100125,2026-05-01,3,신용카드,1054920,21
C100126,2026-05-01,3,신용카드,3285732,66
C100127,2026-05-01,3,신용카드,1815570,36
C100128,2026-05-01,3,신용카드,3749061,75
C100129,2026-05-01,3,신용카드,2713753,54
C100130,2026-05-01,3,신용카드,3393230,68
C100131,2026-05-01,3,신용카드,2160751,43
C100132,2026-05-01,3,신용카드,317707,6
C100133,2026-05-01,3,신용카드,579661,12
C100134,2026-05-01,3,체크카드,0,0
C100135,2026-05-01,3,체크카드,1527079,31
C100136,2026-05-01,3,체크카드,2581301,52
C100137,2026-05-01,3,신용카드,588608,12
C100138,2026-05-01,3,체크카드,2522165,50
C100139,2026-05-01,3,체크카드,3153835,63
C100140,2026-05-01,3,체크카드,4061566,81
C100141,2026-05-01,3,신용카드,1429496,29
C100142,2026-05-01,3,신용카드,2556118,51
C100143,2026-05-01,3,신용카드,3408959,68
C100144,2026-05-01,3,신용카드,3264533,65
C100145,2026-05-01,3,체크카드,2604865,52
C100146,2026-05-01,3,체크카드,4006742,80
C100147,2026-05-01,3,체크카드,559296,11
C100148,2026-05-01,3,신용카드,1448095,29
C100149,2026-05-01,3,신용카드,3113530,62
C100150,2026-05-01,3,체크카드,3690737,74
C100151,2026-05-01,3,신용카드,0,0
C100152,2026-05-01,3,체크카드,2839476,57
C100153,2026-05-01,3,신용카드,1305831,26
C100154,2026-05-01,3,신용카드,3183431,64
C100155,2026-05-01,3,신용카드,3614943,72
C100156,2026-05-01,3,체크카드,3175120,64
C100157,2026-05-01,3,신용카드,2065318,41
C100158,2026-05-01,3,신용카드,3091604,62
C100159,2026-05-01,3,체크카드,0,0
C100160,2026-05-01,3,체크카드,1593605,32
C100161,2026-05-01,3,체크카드,1911113,38
C100162,2026-05-01,3,신용카드,2657104,53
C100163,2026-05-01,3,체크카드,0,0
C100164,2026-05-01,3,체크카드,0,0
C100165,2026-05-01,3,체크카드,2776196,56
C100166,2026-05-01,3,체크카드,218299,4
C100167,2026-05-01,3,체크카드,846821,17
C100168,2026-05-01,3,체크카드,3259118,65
C100169,2026-05-01,3,신용카드,164005,3
C100170,2026-05-01,3,신용카드,0,0
C100171,2026-05-01,3,신용카드,0,0
C100172,2026-05-01,3,체크카드,1259283,25
C100173,2026-05-01,3,체크카드,2603543,52
C100174,2026-05-01,3,체크카드,0,0
C100175,2026-05-01,3,체크카드,0,0
C100176,2026-05-01,3,체크카드,1613841,32
C100177,2026-05-01,3,체크카드,710293,14
C100178,2026-05-01,3,체크카드,0,0
C100179,2026-05-01,3,체크카드,3118870,62
C100180,2026-05-01,3,신용카드,795648,16
C100181,2026-05-01,3,체크카드,430803,9
C100182,2026-05-01,3,체크카드,0,0
C100183,2026-05-01,3,체크카드,2842091,57
C100184,2026-05-01,3,체크카드,0,0
C100185,2026-05-01,3,신용카드,3352611,67
C100186,2026-05-01,3,신용카드,4170896,83
C100187,2026-05-01,3,신용카드,0,0
C100188,2026-05-01,3,체크카드,0,0
C100189,2026-05-01,3,신용카드,275967,6
C100190,2026-05-01,3,신용카드,1668981,33
C100191,2026-05-01,3,신용카드,248980,5
C100192,2026-05-01,3,신용카드,3448945,69
C100193,2026-05-01,3,신용카드,951389,19
C100194,2026-05-01,3,체크카드,2160606,43
C100195,2026-05-01,3,신용카드,2966396,59
C100196,2026-05-01,3,체크카드,0,0
C100197,2026-05-01,3,신용카드,692358,14
C100198,2026-05-01,3,체크카드,1660852,33
