고객ID,기준일자,주차,상품구분,보험잔액
C100001,2026-06-05,8,저축성보험,0
C100002,2026-06-05,8,저축성보험,0
C100003,2026-06-05,8,저축성보험,17373925
C100004,2026-06-05,8,보장성보험,0
C100005,2026-06-05,8,저축성보험,29079514
C100006,2026-06-05,8,보장성보험,0
C100007,2026-06-05,8,저축성보험,0
C100008,2026-06-05,8,보장성보험,41224728
C100009,2026-06-05,8,보장성보험,0
C100010,2026-06-05,8,저축성보험,0
C100011,2026-06-05,8,보장성보험,45728939
C100012,2026-06-05,8,보장성보험,0
C100013,2026-06-05,8,저축성보험,17766428
C100014,2026-06-05,8,보장성보험,21007589
C100015,2026-06-05,8,보장성보험,16879279
C100016,2026-06-05,8,보장성보험,7293800
C100017,2026-06-05,8,저축성보험,32488798
C100018,2026-06-05,8,저축성보험,45780612
C100019,2026-06-05,8,보장성보험,11460614
C100020,2026-06-05,8,보장성보험,0
C100021,2026-06-05,8,저축성보험,16397644
C100022,2026-06-05,8,저축성보험,10935477
C100023,2026-06-05,8,보장성보험,46733171
C100024,2026-06-05,8,저축성보험,0
C100025,2026-06-05,8,보장성보험,0
C100026,2026-06-05,8,보장성보험,0
C100027,2026-06-05,8,저축성보험,30279822
C100028,2026-06-05,8,보장성보험,38214084
C100029,2026-06-05,8,보장성보험,23067538
C100030,2026-06-05,8,보장성보험,0
C100031,2026-06-05,8,저축성보험,0
C100032,2026-06-05,8,저축성보험,0
C100033,2026-06-05,8,저축성보험,0
C100034,2026-06-05,8,저축성보험,10156609
C100035,2026-06-05,8,보장성보험,0
C100036,2026-06-05,8,저축성보험,0
C100037,2026-06-05,8,저축성보험,3668442
C100038,2026-06-05,8,저축성보험,9282361
C100039,2026-06-05,8,보장성보험,15473689
C100040,2026-06-05,8,보장성보험,0
C100041,2026-06-05,8,보장성보험,0
C100042,2026-06-05,8,보장성보험,0
C100043,2026-06-05,8,보장성보험,16895273
C100044,2026-06-05,8,보장성보험,18637196
C100045,2026-06-05,8,보장성보험,44085076
C100046,2026-06-05,8,저축성보험,0
C100047,2026-06-05,8,보장성보험,16724777
C100048,2026-06-05,8,저축성보험,3708406
C100049,2026-06-05,8,보장성보험,0
C100050,2026-06-05,8,저축성보험,8578583
C100051,2026-06-05,8,저축성보험,34731211
C100052,2026-06-05,8,저축성보험,30193635
C100053,2026-06-05,8,보장성보험,27536441
C100054,2026-06-05,8,보장성보험,15974671
C100055,2026-06-05,8,저축성보험,0
C100056,2026-06-05,8,보장성보험,31422238
C100057,2026-06-05,8,저축성보험,0
C100058,2026-06-05,8,저축성보험,23801749
C100059,2026-06-05,8,보장성보험,47585027
C100060,2026-06-05,8,보장성보험,33052860
C100061,2026-06-05,8,저축성보험,0
C100062,2026-06-05,8,보장성보험,15406996
C100063,2026-06-05,8,보장성보험,0
C100064,2026-06-05,8,저축성보험,32227013
C100065,2026-06-05,8,보장성보험,42382509
C100066,2026-06-05,8,저축성보험,0
C100067,2026-06-05,8,보장성보험,0
C100068,2026-06-05,8,저축성보험,20116011
C100069,2026-06-05,8,저축성보험,13018510
C100070,2026-06-05,8,보장성보험,28986666
C100071,2026-06-05,8,저축성보험,0
C100072,2026-06-05,8,보장성보험,14141317
C100073,2026-06-05,8,저축성보험,34307058
C100074,2026-06-05,8,보장성보험,0
C100075,2026-06-05,8,보장성보험,0
C100076,2026-06-05,8,저축성보험,29625053
C100077,2026-06-05,8,보장성보험,0
C100078,2026-06-05,8,저축성보험,23019048
C100079,2026-06-05,8,보장성보험,12605858
C100080,2026-06-05,8,저축성보험,22022848
C100081,2026-06-05,8,저축성보험,28427053
C100082,2026-06-05,8,저축성보험,41539692
C100083,2026-06-05,8,보장성보험,0
C100084,2026-06-05,8,저축성보험,0
C100085,2026-06-05,8,저축성보험,31801422
C100086,2026-06-05,8,저축성보험,48112597
C100087,2026-06-05,8,저축성보험,0
C100088,2026-06-05,8,저축성보험,36889104
C100089,2026-06-05,8,보장성보험,34653174
C100090,2026-06-05,8,저축성보험,0
C100091,2026-06-05,8,보장성보험,27734486
C100092,2026-06-05,8,보장성보험,48519515
C100093,2026-06-05,8,보장성보험,0
C100094,2026-06-05,8,저축성보험,24787819
C100095,2026-06-05,8,저축성보험,12629634
C100096,2026-06-05,8,저축성보험,3127050
C100097,2026-06-05,8,보장성보험,0
C100098,2026-06-05,8,보장성보험,0
C100099,2026-06-05,8,보장성보험,0
C100100,2026-06-05,8,저축성보험,0
C100101,2026-06-05,8,보장성보험,12856193
C100102,2026-06-05,8,저축성보험,0
C100103,2026-06-05,8,보장성보험,35659783
C100104,2026-06-05,8,저축성보험,28467947
C100105,2026-06-05,8,보장성보험,0
C100106,2026-06-05,8,저축성보험,8295126
C100107,2026-06-05,8,저축성보험,0
C100108,2026-06-05,8,보장성보험,20917573
C100109,2026-06-05,8,저축성보험,42909745
C100110,2026-06-05,8,저축성보험,27207650
C100111,2026-06-05,8,저축성보험,41950239
C100112,2026-06-05,8,보장성보험,0
C100113,2026-06-05,8,보장성보험,0
C100114,2026-06-05,8,저축성보험,32348266
C100115,2026-06-05,8,저축성보험,41196372
C100116,2026-06-05,8,보장성보험,3448042
C100117,2026-06-05,8,저축성보험,0
C100118,2026-06-05,8,저축성보험,0
C100119,2026-06-05,8,보장성보험,0
C100120,2026-06-05,8,저축성보험,39831357
C100121,2026-06-05,8,저축성보험,15768211
C100122,2026-06-05,8,보장성보험,21948065
C100123,2026-06-05,8,저축성보험,14590595
C100124,2026-06-05,8,보장성보험,31951025
C100125,2026-06-05,8,저축성보험,38868698
C100126,2026-06-05,8,저축성보험,0
C100127,2026-06-05,8,보장성보험,0
C100128,2026-06-05,8,보장성보험,24674578
C100129,2026-06-05,8,보장성보험,3068539
C100130,2026-06-05,8,저축성보험,24835234
C100131,2026-06-05,8,저축성보험,23989364
C100132,2026-06-05,8,보장성보험,0
C100133,2026-06-05,8,보장성보험,2749914
C100134,2026-06-05,8,보장성보험,29826958
C100135,2026-06-05,8,저축성보험,5603749
C100136,2026-06-05,8,보장성보험,0
C100137,2026-06-05,8,저축성보험,47981306
C100138,2026-06-05,8,보장성보험,8015876
C100139,2026-06-05,8,보장성보험,17748832
C100140,2026-06-05,8,저축성보험,0
C100141,2026-06-05,8,저축성보험,0
C100142,2026-06-05,8,보장성보험,42400318
C100143,2026-06-05,8,저축성보험,0
C100144,2026-06-05,8,저축성보험,0
C100145,2026-06-05,8,보장성보험,0
C100146,2026-06-05,8,보장성보험,44619902
C100147,2026-06-05,8,보장성보험,10856397
C100148,2026-06-05,8,보장성보험,28535123
C100149,2026-06-05,8,저축성보험,29925918
C100150,2026-06-05,8,저축성보험,0
C100151,2026-06-05,8,보장성보험,37198901
C100152,2026-06-05,8,보장성보험,0
C100153,2026-06-05,8,보장성보험,0
C100154,2026-06-05,8,보장성보험,47097372
C100155,2026-06-05,8,저축성보험,29987377
C100156,2026-06-05,8,보장성보험,4117224
C100157,2026-06-05,8,보장성보험,24466137
C100158,2026-06-05,8,저축성보험,50713850
C100159,2026-06-05,8,보장성보험,2196889
C100160,2026-06-05,8,보장성보험,0
C100161,2026-06-05,8,보장성보험,13487542
C100162,2026-06-05,8,저축성보험,38631263
C100163,2026-06-05,8,보장성보험,25752315
C100164,2026-06-05,8,저축성보험,36127097
C100165,2026-06-05,8,보장성보험,28523537
C100166,2026-06-05,8,저축성보험,25925892
C100167,2026-06-05,8,저축성보험,42517392
C100168,2026-06-05,8,보장성보험,0
C100169,2026-06-05,8,저축성보험,43506160
C100170,2026-06-05,8,저축성보험,29749921
C100171,2026-06-05,8,저축성보험,33392152
C100172,2026-06-05,8,저축성보험,24235744
C100173,2026-06-05,8,보장성보험,23258564
C100174,2026-06-05,8,보장성보험,30235335
C100175,2026-06-05,8,보장성보험,12412495
C100176,2026-06-05,8,저축성보험,34030882
C100177,2026-06-05,8,저축성보험,2413534
C100178,2026-06-05,8,보장성보험,17993975
C100179,2026-06-05,8,저축성보험,0
C100180,2026-06-05,8,저축성보험,0
C100181,2026-06-05,8,보장성보험,0
C100182,2026-06-05,8,보장성보험,6133664
C100183,2026-06-05,8,보장성보험,0
C100184,2026-06-05,8,저축성보험,40246000
C100185,2026-06-05,8,보장성보험,44157482
C100186,2026-06-05,8,저축성보험,26445219
C100187,2026-06-05,8,저축성보험,7469952
C100188,2026-06-05,8,보장성보험,0
C100189,2026-06-05,8,저축성보험,29717768
C100190,2026-06-05,8,저축성보험,25219740
C100191,2026-06-05,8,보장성보험,0
C100192,2026-06-05,8,보장성보험,0
C100193,2026-06-05,8,저축성보험,0
C100194,2026-06-05,8,보장성보험,29265244
C100195,2026-06-05,8,보장성보험,18866606
C100196,2026-06-05,8,보장성보험,43433683
C100197,2026-06-05,8,저축성보험,31847243
C100198,2026-06-05,8,보장성보험,38300737
C100199,2026-06-05,8,저축성보험,26407685
C100200,2026-06-05,8,저축성보험,0
C100201,2026-06-05,8,저축성보험,0
C100202,2026-06-05,8,저축성보험,0
C100203,2026-06-05,8,저축성보험,0
C100204,2026-06-05,8,저축성보험,0
C100205,2026-06-05,8,저축성보험,26539953
C100206,2026-06-05,8,저축성보험,6596735
C100207,2026-06-05,8,저축성보험,30022754
C100208,2026-06-05,8,저축성보험,2300512
C100209,2026-06-05,8,보장성보험,0
C100210,2026-06-05,8,저축성보험,0
C100211,2026-06-05,8,보장성보험,0
C100212,2026-06-05,8,보장성보험,10013795
C100213,2026-06-05,8,저축성보험,19271030
C100214,2026-06-05,8,저축성보험,27253101
C100215,2026-06-05,8,저축성보험,27374431
C100216,2026-06-05,8,저축성보험,5858923
C100217,2026-06-05,8,보장성보험,0
C100218,2026-06-05,8,저축성보험,12362190
C100219,2026-06-05,8,보장성보험,6097574
C100220,2026-06-05,8,보장성보험,31068985
C100221,2026-06-05,8,보장성보험,22408995
C100222,2026-06-05,8,저축성보험,33508813
C100223,2026-06-05,8,저축성보험,43574909
C100224,2026-06-05,8,보장성보험,29493975
C100225,2026-06-05,8,보장성보험,0
C100226,2026-06-05,8,저축성보험,0
C100227,2026-06-05,8,저축성보험,0
C100228,2026-06-05,8,저축성보험,12565269
C100229,2026-06-05,8,저축성보험,0
C100230,2026-06-05,8,보장성보험,0
C100231,2026-06-05,8,저축성보험,5422407
C100232,2026-06-05,8,저축성보험,4685900
C100233,2026-06-05,8,저축성보험,1171079
C100234,2026-06-05,8,저축성보험,20083349
C100235,2026-06-05,8,저축성보험,15900474
C100236,2026-06-05,8,보장성보험,0
C100237,2026-06-05,8,저축성보험,2687053
C100238,2026-06-05,8,저축성보험,0
C100239,2026-06-05,8,보장성보험,0
C100240,2026-06-05,8,보장성보험,0
C100241,2026-06-05,8,저축성보험,18747571
C100242,2026-06-05,8,보장성보험,19551668
C100243,2026-06-05,8,저축성보험,43104473
C100244,2026-06-05,8,보장성보험,3134286
C100245,2026-06-05,8,보장성보험,30143093
C100246,2026-06-05,8,저축성보험,0
C100247,2026-06-05,8,보장성보험,0
C100248,2026-06-05,8,보장성보험,48660284
C100249,2026-06-05,8,보장성보험,51769073
C100250,2026-06-05,8,보장성보험,46638162
C100251,2026-06-05,8,보장성보험,0
C100252,2026-06-05,8,저축성보험,23533932
C100253,2026-06-05,8,저축성보험,32711680
C100254,2026-06-05,8,저축성보험,0
C100255,2026-06-05,8,보장성보험,0
C100256,2026-06-05,8,보장성보험,0
C100257,2026-06-05,8,보장성보험,38733019
C100258,2026-06-05,8,보장성보험,19446809
C100259,2026-06-05,8,저축성보험,0
C100260,2026-06-05,8,저축성보험,16352508
C100261,2026-06-05,8,저축성보험,0
C100262,2026-06-05,8,보장성보험,20065865
C100263,2026-06-05,8,저축성보험,0
C100264,2026-06-05,8,저축성보험,21623952
C100265,2026-06-05,8,보장성보험,0
C100266,2026-06-05,8,저축성보험,0
C100267,2026-06-05,8,보장성보험,8549326
C100268,2026-06-05,8,저축성보험,0
C100269,2026-06-05,8,저축성보험,0
C100270,2026-06-05,8,보장성보험,21937883
C100271,2026-06-05,8,저축성보험,11536597
C100272,2026-06-05,8,저축성보험,47285343
C100273,2026-06-05,8,저축성보험,13388581
C100274,2026-06-05,8,저축성보험,0
